dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH23_e697	GH23:360	-	-	110	5mSIPHEX1_33-scaffold_101_c1_26	240	4.6e-56	1	108	61	168	0.9727272727272728	0.9727272727272728
AA6_e2	AA6:22	-	-	195	5mSIPHEX1_33-scaffold_18_c1_106	196	1.8e-18	1	191	4	185	0.9743589743589743	0.9743589743589743
GT2	GT2:6	-	-	163	5mSIPHEX1_33-scaffold_18_c1_244	244	8.5e-93	1	163	9	171	0.9938650306748467	0.9938650306748467
CE20_e33	CE20:279|GH33:1|CBM35:1	-	-	256	5mSIPHEX1_33-scaffold_200_c1_36	648	4e-69	2	253	107	537	0.98046875	0.98046875
GT2	GT2:630	-	-	347	5mSIPHEX1_33-scaffold_200_c1_5	731	1.7e-135	4	342	118	455	0.9740634005763689	0.9740634005763689
GT2	GT2:7	-	-	195	5mSIPHEX1_33-scaffold_258_c1_34	347	2e-54	1	193	19	292	0.9846153846153847	0.9846153846153847
GH33_e125	GH33:17|GH0:5	-	-	290	5mSIPHEX1_33-scaffold_376_c1_9	389	1.5e-16	2	253	75	324	0.8655172413793103	0.8655172413793103
GT2	GT2:82	-	-	270	5mSIPHEX1_33-scaffold_37_c1_148	322	1.3e-103	1	265	30	294	0.9777777777777777	0.9777777777777777
GH109_e2	GH109:143	-	-	391	5mSIPHEX1_33-scaffold_37_c1_17	325	2.2e-17	2	159	2	151	0.40153452685422	0.40153452685422
GH24_e19	GH24:16	-	-	137	5mSIPHEX1_33-scaffold_37_c1_248	421	3.4e-45	2	136	32	167	0.9781021897810219	0.9781021897810219
PL1_e20	PL1_2:207|PL1:7|CE8:1	4.2.2.2:2	pectin	189	5mSIPHEX1_33-scaffold_61_c1_124	462	2.8e-89	1	189	98	285	0.9947089947089947	0.9947089947089947
GT2	GT2:26|GT4:1	-	-	229	5mSIPHEX1_33-scaffold_6_c1_22	270	1.5e-83	1	228	8	225	0.9912663755458515	0.9912663755458515
GT83_e87	GT83:7|GT2:1	-	-	356	5mSIPHEX1_33-scaffold_6_c1_239	574	7.5e-38	7	343	20	351	0.9438202247191011	0.9438202247191011
GH3_e0	GH3:1894|GH67:1|CBM6:1|CBM32:1	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	xylan, arabinan, beta-glucan, beta-glucan	251	5mSIPHEX1_33-scaffold_6_c1_317	924	1.1e-110	3	244	98	354	0.9601593625498008	0.9601593625498008
GT4_e3001	GT4:50|GT0:6	-	-	117	5mSIPHEX1_33-scaffold_6_c1_460	353	3.3e-33	1	115	165	278	0.9743589743589743	0.9743589743589743
GT4_e2415	GT4:6	-	-	149	5mSIPHEX1_33-scaffold_6_c1_469	369	2.1e-56	1	148	178	325	0.9865771812080537	0.9865771812080537
GT4_e1845	GT4:15|GT2:1	-	-	148	5mSIPHEX1_33-scaffold_6_c1_474	992	4.3e-42	3	145	223	365	0.9594594594594594	0.9594594594594594
GT4_e1461	GT4:13	-	-	142	5mSIPHEX1_33-scaffold_6_c1_474	992	4.7e-48	2	140	644	784	0.971830985915493	0.971830985915493
GT2	GT2:198	-	-	267	5mSIPHEX1_33-scaffold_6_c1_52	470	2.2e-124	1	266	61	327	0.9925093632958801	0.9925093632958801
GT2	GT2:35	-	-	230	5mSIPHEX1_33-scaffold_6_c1_84	294	4.5e-61	1	171	125	290	0.7391304347826086	0.7391304347826086
GH15_e57	GH15:937	-	-	365	5mSIPHEX1_33-scaffold_6_c1_98	589	7e-172	1	364	214	577	0.9945205479452055	0.9945205479452055
GT4_e649	GT4:9	-	-	152	5mSIPHEX1_33-scaffold_100_c1_110	387	3.5e-66	3	151	204	353	0.9736842105263158	0.9736842105263158
AA3_e57	AA3_2:11	-	-	532	5mSIPHEX1_33-scaffold_101_c1_5	543	2.5e-188	1	531	2	529	0.9962406015037594	0.9962406015037594
PL17_e4	PL17_2:212|PL17:6	4.2.2.26:6|4.2.2.3:2	alginate, alginate	136	5mSIPHEX1_33-scaffold_135_c1_22	725	9.1e-20	48	135	177	260	0.6397058823529411	0.6397058823529411
PL17_e4	PL17_2:212|PL17:6	4.2.2.26:6|4.2.2.3:2	alginate, alginate	136	5mSIPHEX1_33-scaffold_135_c1_22	725	7.1e-54	1	134	381	514	0.9779411764705882	0.9779411764705882
GT83_e74	GT83:11	-	-	444	5mSIPHEX1_33-scaffold_18_c1_243	685	3.9e-47	14	417	20	543	0.9076576576576577	0.9076576576576577
GH16_e307	GH16:7|GH43_24:1	-	-	213	5mSIPHEX1_33-scaffold_18_c1_349	279	4.5e-92	2	213	39	274	0.9906103286384976	0.9906103286384976
AA3_e57	AA3_2:11	-	-	532	5mSIPHEX1_33-scaffold_200_c1_57	546	4e-202	1	531	4	530	0.9962406015037594	0.9962406015037594
GH23_e815	GH23:8	-	-	132	5mSIPHEX1_33-scaffold_258_c1_17	675	3e-72	1	132	521	652	0.9924242424242424	0.9924242424242424
CE15_e10	CE15:113|GH78:2|CE0:1	3.2.1.40:2	-	389	5mSIPHEX1_33-scaffold_37_c1_55	435	4.7e-81	23	388	64	420	0.9383033419023136	0.9383033419023136
CE11_e38	CE11:44	-	-	272	5mSIPHEX1_33-scaffold_6_c1_135	309	1.6e-106	1	271	10	282	0.9926470588235294	0.9926470588235294
GH103_e1	GH103:1669	4.2.2.n1:1	-	295	5mSIPHEX1_33-scaffold_6_c1_36	450	2.6e-103	3	294	61	359	0.9864406779661017	0.9864406779661017
GT2	GT2:15|GT4:13	-	-	169	5mSIPHEX1_33-scaffold_6_c1_470	746	3.5e-75	1	169	8	177	0.9940828402366864	0.9940828402366864
GT4_e3919	GT4:6|GT2:5	-	-	156	5mSIPHEX1_33-scaffold_6_c1_470	746	1.9e-55	3	155	551	705	0.9743589743589743	0.9743589743589743
GH16_e14	GH16_21:709|GH16:9|CBM6:3|CBM13:2|CBM22:2|GH11:2|CBM61:1|CBM2:1|CBM4:1|GH9:1|CBM16:1	3.2.1.73:46|3.2.1.6:5|3.2.1.8:2	beta-glucan, beta-glucan	200	5mSIPHEX1_33-scaffold_92_c1_90	339	5.2e-63	6	185	106	290	0.895	0.895
