MEROPS_family	domain_name	5mSIPHEX1_0	5mSIPHEX1_1	5mSIPHEX1_10	5mSIPHEX1_11	5mSIPHEX1_13	5mSIPHEX1_18	5mSIPHEX1_19	5mSIPHEX1_25	5mSIPHEX1_26	5mSIPHEX1_32	5mSIPHEX1_33	5mSIPHEX1_37	5mSIPHEX1_8	5mSIPHEX1_9	5mSIPHEX2_10	5mSIPHEX2_14	5mSIPHEX2_16	5mSIPHEX2_18	5mSIPHEX2_25	5mSIPHEX2_3	5mSIPHEX2_5	5mSIPHEX2_7	700mSIPHEX1_0	700mSIPHEX1_1	700mSIPHEX1_12	700mSIPHEX1_15	700mSIPHEX1_17	700mSIPHEX1_18	700mSIPHEX1_2	700mSIPHEX1_20	700mSIPHEX1_3	700mSIPHEX1_8	700mSIPHEX2_13	700mSIPHEX2_14	700mSIPHEX2_16	700mSIPHEX2_21	700mSIPHEX2_22	700mSIPHEX2_23	700mSIPHEX2_24	700mSIPHEX2_9
family S14 unassigned peptidases | Shimia abyssi | S14.UPW	MER1320489	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
family S14 unassigned peptidases | Sulfitobacter mediterraneus | S14.UPW	MER1018502	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
family S14 unassigned peptidases | Sulfitobacter sp. CB2047 | S14.UPW	MER1016858	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
family S14 unassigned peptidases | Wenxinia marina | S14.UPW	MER1016813	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S15 non-peptidase homologues | Actibacterium atlanticum | S15.UNW	MER1023823	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S15 non-peptidase homologues | Actibacterium mucosum | S15.UNW	MER1025022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S15 non-peptidase homologues | Maritimibacter alkaliphilus | S15.UNW	MER1023043	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S16 unassigned peptidases | Huaishuia sp. DY2-5 | S16.UPW	MER1327762	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S16 unassigned peptidases | Roseovarius sp. 22II1-1F6A | S16.UPW	MER1327751	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S33 unassigned peptidases | Huaishuia sp. DY2-5 | S33.UPW	MER1339400	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S33 unassigned peptidases | Roseovarius sp. 22II1-1F6A | S33.UPW	MER1339384	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S9 unassigned peptidases | Maritimibacter alkaliphilus | S09.UPW	MER0477989	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
peptidase Clp | type 1 | S14.001	MER0060698	14	0	0	0	10	0	0	0	0	0	0	19	0	0	14	0	0	0	0	19	0	10	0	0	0	0	0	0	0	0	0	19	19	0	0	0	0	0	0	0
peptidase Clp | type 1 | S14.001	MER0060700	14	0	0	0	10	0	0	0	0	0	0	19	0	0	14	0	0	0	0	19	0	10	0	0	0	0	0	0	0	0	0	19	19	0	0	0	0	0	0	0
peptidase Clp | type 1 | S14.001	MER0060701	14	0	0	0	10	0	0	0	0	0	0	19	0	0	14	0	0	0	0	19	0	10	0	0	0	0	0	0	0	0	0	19	19	0	0	0	0	0	0	0
peptidase Clp | type 1 | S14.001	MER0060815	14	0	0	0	10	0	0	0	0	0	0	19	0	0	14	0	0	0	0	19	0	10	0	0	0	0	0	0	0	0	0	19	19	0	0	0	0	0	0	0
peptidase Clp | type 1 | S14.001	MER0061964	14	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
peptidase Clp | type 1 | S14.001	MER0074566	14	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
peptidase Clp | type 1 | S14.001	MER0080464	14	0	0	0	0	0	0	0	0	0	0	19	0	0	14	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	19	19	0	0	0	0	0	0	0
peptidase Clp | type 1 | S14.001	MER0142975	14	0	0	0	10	0	0	0	0	0	0	19	0	0	14	0	0	0	0	19	0	10	0	0	0	0	0	0	0	0	0	19	19	0	0	0	0	0	0	0
peptidase Clp | type 1 | S14.001	MER0143241	14	0	0	0	10	0	0	0	0	0	0	19	0	0	14	0	0	0	0	19	0	10	0	0	0	0	0	0	0	0	0	19	19	0	0	0	0	0	0	0
peptidase Clp | type 1 | S14.001	MER0143663	14	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
peptidase Clp | type 1 | S14.001	MER0144418	14	0	0	0	0	0	0	0	0	0	0	19	0	0	14	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	19	19	0	0	0	0	0	0	0
peptidase Clp | type 1 | S14.001	MER0159546	14	0	0	0	10	0	0	0	0	0	0	19	0	0	14	0	0	0	0	19	0	10	0	0	0	0	0	0	0	0	0	19	19	0	0	0	0	0	0	0
peptidase Clp | type 1 | S14.001	MER0180057	14	0	0	0	10	0	0	0	0	0	0	19	0	0	14	0	0	0	0	19	0	10	0	0	0	0	0	0	0	0	0	19	19	0	0	0	0	0	0	0
peptidase Clp | type 1 | S14.001	MER0299389	14	0	0	0	10	0	0	0	0	0	0	19	0	0	14	0	0	0	0	19	0	10	0	0	0	0	0	0	0	0	0	19	19	0	0	0	0	0	0	0
HslV component of HslUV peptidase |  | T01.006	MER0029893	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YMXG peptidase | Planktomarina temperata | M16.019	MER0925903	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alanyl aminopeptidase | bacterial-type | M01.005	MER0812688	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cephalosporin C acylase precursor | Planktomarina temperata | S45.003	MER1064169	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family A8 unassigned peptidases | Planktomarina temperata | A08.UPW	MER0443131	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family C40 unassigned peptidases | Planktomarina temperata | C40.UPW	MER0719057	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family I87 unassigned peptidase inhibitors |  | I87.UPW	MER0797871	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family I87 unassigned peptidase inhibitors | Planktomarina temperata | I87.UPW	MER0797987	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family I87 unassigned peptidase inhibitors | Planktomarina temperata | I87.UPW	MER0802489	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family M17 unassigned peptidases | Planktomarina temperata | M17.UPW	MER0930003	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family M19 non-peptidase homologues | Planktomarina temperata | M19.UNW	MER0802504	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family M20 non-peptidase homologues | Planktomarina temperata | M20.UNW	MER0841606	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family M20 unassigned peptidases | Planktomarina temperata | M20.UPW	MER0808852	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family M20D unassigned peptidases | Planktomarina temperata | M20.UPD	MER0736382	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family M20D unassigned peptidases | Planktomarina temperata | M20.UPD	MER0841683	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family M38 non-peptidase homologues | Planktomarina temperata | M38.UNW	MER0859340	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family M41 unassigned peptidases | Planktomarina temperata | M41.UPW	MER0872453	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family M74 unassigned peptidases | Planktomarina temperata | M74.UPW	MER1263611	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S11 unassigned peptidases | Planktomarina temperata | S11.UPW	MER0949756	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S11 unassigned peptidases | Planktomarina temperata | S11.UPW	MER0984674	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S13 unassigned peptidases | Planktomarina temperata | S13.UPW	MER1006665	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S14 unassigned peptidases | Planktomarina temperata | S14.UPW	MER1017777	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S15 non-peptidase homologues |  | S15.UNW	MER1021646	0	1	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	4	2	0	0	3	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
family S15 non-peptidase homologues | Leisingera methylohalidivorans | S15.UNW	MER1019523	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
family S15 non-peptidase homologues | Leisingera sp. ANG-M1 | S15.UNW	MER1022219	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
family S15 non-peptidase homologues | Leisingera sp. ANG-M7 | S15.UNW	MER1024677	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
family S15 non-peptidase homologues | Leisingera sp. ANG-Vp | S15.UNW	MER1023129	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
family S15 non-peptidase homologues | Leisingera sp. ANG1 | S15.UNW	MER1024554	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
family S15 non-peptidase homologues | Loktanella sp. S4079 | S15.UNW	MER1022858	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S15 non-peptidase homologues | Loktanella vestfoldensis | S15.UNW	MER1022025	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S15 non-peptidase homologues | Octadecabacter antarcticus | S15.UNW	MER1022160	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S15 non-peptidase homologues | Octadecabacter arcticus | S15.UNW	MER1026065	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S15 non-peptidase homologues | Phaeobacter gallaeciensis | S15.UNW	MER1022102	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
family S15 non-peptidase homologues | Phaeobacter inhibens | S15.UNW	MER1020006	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
family S15 non-peptidase homologues | Ponticoccus sp. UMTAT08 | S15.UNW	MER1020540	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S15 non-peptidase homologues | Roseobacter sp. AzwK-3b | S15.UNW	MER1025887	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
family S15 non-peptidase homologues | Roseobacter sp. CCS2 | S15.UNW	MER1020644	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S15 non-peptidase homologues | Roseovarius sp. TM1035 | S15.UNW	MER1022177	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
family S15 non-peptidase homologues | Ruegeria mobilis | S15.UNW	MER1022384	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
family S15 non-peptidase homologues | Ruegeria sp. ANG-S4 | S15.UNW	MER1023597	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
family S15 non-peptidase homologues | Ruegeria sp. R11 | S15.UNW	MER1025487	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
family S16 non-peptidase homologues | Planktomarina temperata | S16.UNW	MER1034434	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S16 unassigned peptidases | Planktomarina temperata | S16.UPW	MER1030469	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S24 unassigned peptidases | Planktomarina temperata | S24.UPW	MER1045330	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S33 unassigned peptidases |  | S33.UPW	MER0036463	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S33 unassigned peptidases | Planktomarina temperata | S33.UPW	MER1340384	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S54 non-peptidase homologues | Planktomarina temperata | S54.UNW	MER1080465	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S9 unassigned peptidases |  | S09.UPW	MER0478061	0	1	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	3	2	0	0	3	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
family S9 unassigned peptidases | Leisingera methylohalidivorans | S09.UPW	MER0504400	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
family S9 unassigned peptidases | Loktanella vestfoldensis | S09.UPW	MER0477539	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S9 unassigned peptidases | Octadecabacter antarcticus | S09.UPW	MER0506719	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S9 unassigned peptidases | Octadecabacter arcticus | S09.UPW	MER0506524	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S9 unassigned peptidases | Phaeobacter gallaeciensis | S09.UPW	MER0477997	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
family S9 unassigned peptidases | Phaeobacter sp. S26 | S09.UPW	MER1026052	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
family S9 unassigned peptidases | Roseibacterium elongatum | S09.UPW	MER1022039	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S9 unassigned peptidases | Roseobacter sp. AzwK-3b | S09.UPW	MER0477430	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
family S9 unassigned peptidases | Roseobacter sp. CCS2 | S09.UPW	MER0477798	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family S9 unassigned peptidases | Roseovarius sp. TM1035 | S09.UPW	MER0477683	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
family S9 unassigned peptidases | Ruegeria sp. ANG-R | S09.UPW	MER1026817	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
family S9 unassigned peptidases | Ruegeria sp. R11 | S09.UPW	MER0477680	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
family S9 unassigned peptidases | Ruegeria sp. TW15 | S09.UPW	MER0478101	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
family T3 unassigned peptidases | Planktomarina temperata | T03.UPW	MER1098382	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family T5 unassigned peptidases | Planktomarina temperata | T05.UPW	MER1103277	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subfamily C82A unassigned peptidases | Planktomarina temperata | C82.UPA	MER0738356	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subfamily C82A unassigned peptidases | Planktomarina temperata | C82.UPA	MER0740228	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subfamily M16B non-peptidase homologues | Planktomarina temperata | M16.UNB	MER0927937	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subfamily M16B unassigned peptidases | Planktomarina temperata | M16.UPB	MER0926503	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subfamily M20A unassigned peptidases | Planktomarina temperata | M20.UPA	MER0841938	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subfamily M20D non-peptidase homologues | Planktomarina temperata | M20.UND	MER0843280	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subfamily M20D non-peptidase homologues | Planktomarina temperata | M20.UND	MER0850124	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subfamily M3A unassigned peptidases | Planktomarina temperata | M03.UPA	MER0817624	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subfamily M48C unassigned peptidases | Planktomarina temperata | M48.UPC	MER0886808	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subfamily M48C unassigned peptidases | Planktomarina temperata | M48.UPC	MER0888785	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subfamily M50B unassigned peptidases | Planktomarina temperata | M50.UPB	MER0892865	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subfamily S1C unassigned peptidases |  | S01.UPC	MER0211352	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subfamily S26A unassigned peptidases | Planktomarina temperata | S26.UPA	MER1047630	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
