Scaffold_name	Bin_name	KO	Abundance
5mSIPHEX1_0_scaffold_12_c2_334	5mSIPHEX1_0	K00655	1
5mSIPHEX1_0_scaffold_12_c2_335	5mSIPHEX1_0	K02335	1
5mSIPHEX1_0_scaffold_12_c2_337	5mSIPHEX1_0	K03286	2
5mSIPHEX1_0_scaffold_12_c2_338	5mSIPHEX1_0	K03179	1
5mSIPHEX1_0_scaffold_12_c2_339	5mSIPHEX1_0	K09761	1
5mSIPHEX1_0_scaffold_12_c2_34	5mSIPHEX1_0	K00997	1
5mSIPHEX1_0_scaffold_12_c2_341	5mSIPHEX1_0	K01919	1
5mSIPHEX1_0_scaffold_12_c2_343	5mSIPHEX1_0	K08591	1
5mSIPHEX1_0_scaffold_12_c2_344	5mSIPHEX1_0	K01465	1
5mSIPHEX1_0_scaffold_12_c2_346	5mSIPHEX1_0	K00609	1
5mSIPHEX1_0_scaffold_12_c2_347	5mSIPHEX1_0	K21929	3
5mSIPHEX1_0_scaffold_12_c2_348	5mSIPHEX1_0	K03638	1
5mSIPHEX1_0_scaffold_12_c2_35	5mSIPHEX1_0	K03100	1
5mSIPHEX1_0_scaffold_12_c2_352	5mSIPHEX1_0	K07735	1
5mSIPHEX1_0_scaffold_12_c2_354	5mSIPHEX1_0	K01755	1
5mSIPHEX1_0_scaffold_12_c2_356	5mSIPHEX1_0	K06023	1
5mSIPHEX1_0_scaffold_12_c2_357	5mSIPHEX1_0	K06958	1
5mSIPHEX1_0_scaffold_12_c2_358	5mSIPHEX1_0	K02793	1
5mSIPHEX1_0_scaffold_12_c2_359	5mSIPHEX1_0	K02784	1
5mSIPHEX1_0_scaffold_12_c2_36	5mSIPHEX1_0	K03685	1
5mSIPHEX1_0_scaffold_12_c2_361	5mSIPHEX1_0	K00074	1
5mSIPHEX1_0_scaffold_12_c2_363	5mSIPHEX1_0	K03522	1
5mSIPHEX1_0_scaffold_12_c2_364	5mSIPHEX1_0	K03521	1
5mSIPHEX1_0_scaffold_12_c2_365	5mSIPHEX1_0	K00798	1
5mSIPHEX1_0_scaffold_12_c2_367	5mSIPHEX1_0	K00019	2
5mSIPHEX1_0_scaffold_12_c2_369	5mSIPHEX1_0	K02621	1
5mSIPHEX1_0_scaffold_12_c2_37	5mSIPHEX1_0	K03595	1
5mSIPHEX1_0_scaffold_12_c2_371	5mSIPHEX1_0	K02358	1
5mSIPHEX1_0_scaffold_12_c2_375	5mSIPHEX1_0	K03073	1
5mSIPHEX1_0_scaffold_12_c2_376	5mSIPHEX1_0	K02601	1
5mSIPHEX1_0_scaffold_12_c2_377	5mSIPHEX1_0	K02867	1
5mSIPHEX1_0_scaffold_12_c2_378	5mSIPHEX1_0	K02863	1
5mSIPHEX1_0_scaffold_12_c2_379	5mSIPHEX1_0	K02864	1
5mSIPHEX1_0_scaffold_12_c2_380	5mSIPHEX1_0	K02935	1
5mSIPHEX1_0_scaffold_12_c2_381	5mSIPHEX1_0	K03043	1
5mSIPHEX1_0_scaffold_12_c2_382	5mSIPHEX1_0	K03046	1
5mSIPHEX1_0_scaffold_12_c2_384	5mSIPHEX1_0	K02950	1
5mSIPHEX1_0_scaffold_12_c2_385	5mSIPHEX1_0	K02992	1
5mSIPHEX1_0_scaffold_12_c2_386	5mSIPHEX1_0	K02355	1
5mSIPHEX1_0_scaffold_12_c2_40	5mSIPHEX1_0	K03070	1
5mSIPHEX1_0_scaffold_12_c2_41	5mSIPHEX1_0	K03769	1
5mSIPHEX1_0_scaffold_12_c2_42	5mSIPHEX1_0	K00620	1
5mSIPHEX1_0_scaffold_12_c2_43	5mSIPHEX1_0	K03574	1
5mSIPHEX1_0_scaffold_12_c2_46	5mSIPHEX1_0	K00950	1
5mSIPHEX1_0_scaffold_12_c2_47	5mSIPHEX1_0	K03060	1
5mSIPHEX1_0_scaffold_12_c2_48	5mSIPHEX1_0	K01139	1
5mSIPHEX1_0_scaffold_12_c2_49	5mSIPHEX1_0	K09928	1
5mSIPHEX1_0_scaffold_12_c2_50	5mSIPHEX1_0	K03474	1
5mSIPHEX1_0_scaffold_12_c2_51	5mSIPHEX1_0	K08311	1
5mSIPHEX1_0_scaffold_12_c2_52	5mSIPHEX1_0	K03797	1
5mSIPHEX1_0_scaffold_12_c2_53	5mSIPHEX1_0	K22719	1
5mSIPHEX1_0_scaffold_12_c2_54	5mSIPHEX1_0	K15633	1
5mSIPHEX1_0_scaffold_12_c2_55	5mSIPHEX1_0	K00783	1
5mSIPHEX1_0_scaffold_12_c2_56	5mSIPHEX1_0	K09710	1
5mSIPHEX1_0_scaffold_12_c2_58	5mSIPHEX1_0	K01703	1
5mSIPHEX1_0_scaffold_12_c2_59	5mSIPHEX1_0	K01704	1
5mSIPHEX1_0_scaffold_12_c2_62	5mSIPHEX1_0	K00052	1
5mSIPHEX1_0_scaffold_12_c2_63	5mSIPHEX1_0	K15270	5
5mSIPHEX1_0_scaffold_12_c2_65	5mSIPHEX1_0	K14161	1
5mSIPHEX1_0_scaffold_12_c2_66	5mSIPHEX1_0	K14162	1
5mSIPHEX1_0_scaffold_12_c2_69	5mSIPHEX1_0	K07233	1
5mSIPHEX1_0_scaffold_12_c2_70	5mSIPHEX1_0	K07156	1
5mSIPHEX1_0_scaffold_12_c2_74	5mSIPHEX1_0	K19689	1
5mSIPHEX1_0_scaffold_12_c2_76	5mSIPHEX1_0	K00681	1
5mSIPHEX1_0_scaffold_12_c2_78	5mSIPHEX1_0	K07444	1
5mSIPHEX1_0_scaffold_12_c2_8	5mSIPHEX1_0	K07484	1
5mSIPHEX1_0_scaffold_12_c2_84	5mSIPHEX1_0	K03523	1
5mSIPHEX1_0_scaffold_12_c2_86	5mSIPHEX1_0	K16784	1
5mSIPHEX1_0_scaffold_12_c2_87	5mSIPHEX1_0	K00526	1
5mSIPHEX1_0_scaffold_12_c2_88	5mSIPHEX1_0	K00525	2
5mSIPHEX1_0_scaffold_12_c2_89	5mSIPHEX1_0	K03647	1
5mSIPHEX1_0_scaffold_12_c2_90	5mSIPHEX1_0	K06191	1
5mSIPHEX1_0_scaffold_12_c2_91	5mSIPHEX1_0	K13821	1
5mSIPHEX1_0_scaffold_12_c2_92	5mSIPHEX1_0	K03719	7
5mSIPHEX1_0_scaffold_12_c2_94	5mSIPHEX1_0	K13483	1
5mSIPHEX1_0_scaffold_12_c2_95	5mSIPHEX1_0	K11178	1
5mSIPHEX1_0_scaffold_12_c2_96	5mSIPHEX1_0	K11177	1
5mSIPHEX1_0_scaffold_12_c2_97	5mSIPHEX1_0	K09947	1
5mSIPHEX1_0_scaffold_12_c2_98	5mSIPHEX1_0	K07338	1
5mSIPHEX1_0_scaffold_1458_c1_6	5mSIPHEX1_0	K21395	15
5mSIPHEX1_0_scaffold_190_c1_10	5mSIPHEX1_0	K01000	1
5mSIPHEX1_0_scaffold_190_c1_12	5mSIPHEX1_0	K01925	1
5mSIPHEX1_0_scaffold_190_c1_15	5mSIPHEX1_0	K02563	1
5mSIPHEX1_0_scaffold_190_c1_16	5mSIPHEX1_0	K01924	1
5mSIPHEX1_0_scaffold_190_c1_18	5mSIPHEX1_0	K00075	1
5mSIPHEX1_0_scaffold_190_c1_19	5mSIPHEX1_0	K01921	1
5mSIPHEX1_0_scaffold_190_c1_2	5mSIPHEX1_0	K03593	1
5mSIPHEX1_0_scaffold_190_c1_20	5mSIPHEX1_0	K03589	1
5mSIPHEX1_0_scaffold_190_c1_21	5mSIPHEX1_0	K03590	1
5mSIPHEX1_0_scaffold_190_c1_22	5mSIPHEX1_0	K03531	1
5mSIPHEX1_0_scaffold_190_c1_23	5mSIPHEX1_0	K02535	1
5mSIPHEX1_0_scaffold_190_c1_24	5mSIPHEX1_0	K05807	1
5mSIPHEX1_0_scaffold_190_c1_25	5mSIPHEX1_0	K03631	1
5mSIPHEX1_0_scaffold_190_c1_32	5mSIPHEX1_0	K02028	4
5mSIPHEX1_0_scaffold_190_c1_33	5mSIPHEX1_0	K02030	1
5mSIPHEX1_0_scaffold_190_c1_36	5mSIPHEX1_0	K01915	4
5mSIPHEX1_0_scaffold_190_c1_38	5mSIPHEX1_0	K01915	4
5mSIPHEX1_0_scaffold_190_c1_39	5mSIPHEX1_0	K09471	1
5mSIPHEX1_0_scaffold_190_c1_4	5mSIPHEX1_0	K03925	1
5mSIPHEX1_0_scaffold_190_c1_42	5mSIPHEX1_0	K18456	1
5mSIPHEX1_0_scaffold_190_c1_43	5mSIPHEX1_0	K18649	1
5mSIPHEX1_0_scaffold_190_c1_45	5mSIPHEX1_0	K00344	3
5mSIPHEX1_0_scaffold_190_c1_48	5mSIPHEX1_0	K06890	1
5mSIPHEX1_0_scaffold_190_c1_49	5mSIPHEX1_0	K15599	1
5mSIPHEX1_0_scaffold_190_c1_49	5mSIPHEX1_0	K02050	6
5mSIPHEX1_0_scaffold_190_c1_5	5mSIPHEX1_0	K03438	1
5mSIPHEX1_0_scaffold_190_c1_50	5mSIPHEX1_0	K15600	1
5mSIPHEX1_0_scaffold_190_c1_51	5mSIPHEX1_0	K03707	1
5mSIPHEX1_0_scaffold_190_c1_52	5mSIPHEX1_0	K15598	1
5mSIPHEX1_0_scaffold_190_c1_52	5mSIPHEX1_0	K02051	1
5mSIPHEX1_0_scaffold_190_c1_54	5mSIPHEX1_0	K00788	1
5mSIPHEX1_0_scaffold_190_c1_55	5mSIPHEX1_0	K03149	1
5mSIPHEX1_0_scaffold_190_c1_56	5mSIPHEX1_0	K03154	1
5mSIPHEX1_0_scaffold_190_c1_57	5mSIPHEX1_0	K03153	1
5mSIPHEX1_0_scaffold_190_c1_58	5mSIPHEX1_0	K00941	1
5mSIPHEX1_0_scaffold_190_c1_59	5mSIPHEX1_0	K02913	1
5mSIPHEX1_0_scaffold_190_c1_6	5mSIPHEX1_0	K03586	1
5mSIPHEX1_0_scaffold_190_c1_60	5mSIPHEX1_0	K01447	1
5mSIPHEX1_0_scaffold_190_c1_62	5mSIPHEX1_0	K02433	1
5mSIPHEX1_0_scaffold_190_c1_62	5mSIPHEX1_0	K01426	2
5mSIPHEX1_0_scaffold_190_c1_63	5mSIPHEX1_0	K02435	1
5mSIPHEX1_0_scaffold_190_c1_65	5mSIPHEX1_0	K00949	1
5mSIPHEX1_0_scaffold_190_c1_7	5mSIPHEX1_0	K03587	1
5mSIPHEX1_0_scaffold_190_c1_8	5mSIPHEX1_0	K01928	1
5mSIPHEX1_0_scaffold_190_c1_9	5mSIPHEX1_0	K01929	1
5mSIPHEX1_0_scaffold_23_c1_1	5mSIPHEX1_0	K17247	1
5mSIPHEX1_0_scaffold_23_c1_10	5mSIPHEX1_0	K03592	1
5mSIPHEX1_0_scaffold_23_c1_103	5mSIPHEX1_0	K03451	1
5mSIPHEX1_0_scaffold_23_c1_104	5mSIPHEX1_0	K01174	1
5mSIPHEX1_0_scaffold_23_c1_105	5mSIPHEX1_0	K01778	1
5mSIPHEX1_0_scaffold_23_c1_106	5mSIPHEX1_0	K18707	1
5mSIPHEX1_0_scaffold_23_c1_108	5mSIPHEX1_0	K12980	1
5mSIPHEX1_0_scaffold_23_c1_109	5mSIPHEX1_0	K00411	1
5mSIPHEX1_0_scaffold_23_c1_110	5mSIPHEX1_0	K00412	1
5mSIPHEX1_0_scaffold_23_c1_111	5mSIPHEX1_0	K00413	1
5mSIPHEX1_0_scaffold_23_c1_113	5mSIPHEX1_0	K02063	1
5mSIPHEX1_0_scaffold_23_c1_114	5mSIPHEX1_0	K02064	1
5mSIPHEX1_0_scaffold_23_c1_116	5mSIPHEX1_0	K01736	1
5mSIPHEX1_0_scaffold_23_c1_119	5mSIPHEX1_0	K01406	5
5mSIPHEX1_0_scaffold_23_c1_123	5mSIPHEX1_0	K09688	1
5mSIPHEX1_0_scaffold_23_c1_124	5mSIPHEX1_0	K10107	2
5mSIPHEX1_0_scaffold_23_c1_125	5mSIPHEX1_0	K09689	2
5mSIPHEX1_0_scaffold_23_c1_126	5mSIPHEX1_0	K01406	5
5mSIPHEX1_0_scaffold_23_c1_128	5mSIPHEX1_0	K18954	3
5mSIPHEX1_0_scaffold_23_c1_129	5mSIPHEX1_0	K00481	1
