Scaffold_name	Bin_name	Pfam	domain_name	Abundance
5mSIPHEX1_0_scaffold_23_c1_283	5mSIPHEX1_0	PF00013	KH domain	1
5mSIPHEX1_0_scaffold_23_c1_283	5mSIPHEX1_0	PF01138	3' exoribonuclease family, domain 1	2
5mSIPHEX1_0_scaffold_23_c1_283	5mSIPHEX1_0	PF00575	S1 RNA binding domain	3
5mSIPHEX1_0_scaffold_23_c1_283	5mSIPHEX1_0	PF03726	Polyribonucleotide nucleotidyltransferase, RNA binding domain	1
5mSIPHEX1_0_scaffold_659_c1_10	5mSIPHEX1_0	PF09517	Eco29kI restriction endonuclease	1
5mSIPHEX1_0_scaffold_3_c1_216	5mSIPHEX1_0	PF05116	Sucrose-6F-phosphate phosphohydrolase	1
5mSIPHEX1_0_scaffold_23_c1_173	5mSIPHEX1_0	PF13614	AAA domain	4
5mSIPHEX1_0_scaffold_12_c2_131	5mSIPHEX1_0	PF00528	Binding-protein-dependent transport system inner membrane component	54
5mSIPHEX1_0_scaffold_3_c1_575	5mSIPHEX1_0	PF00903	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	8
5mSIPHEX1_0_scaffold_4_c1_636	5mSIPHEX1_0	PF01578	Cytochrome C assembly protein	2
5mSIPHEX1_0_scaffold_190_c1_56	5mSIPHEX1_0	PF02597	ThiS family	2
5mSIPHEX1_0_scaffold_4_c1_426	5mSIPHEX1_0	PF11164	Protein of unknown function (DUF2948)	1
5mSIPHEX1_0_scaffold_62_c1_50	5mSIPHEX1_0	PF04364	DNA polymerase III chi subunit, HolC	1
5mSIPHEX1_0_scaffold_3_c1_370	5mSIPHEX1_0	PF06904	Extensin-like protein C-terminus	1
5mSIPHEX1_0_scaffold_3_c1_574	5mSIPHEX1_0	PF00438	S-adenosylmethionine synthetase, N-terminal domain	1
5mSIPHEX1_0_scaffold_3_c1_574	5mSIPHEX1_0	PF02772	S-adenosylmethionine synthetase, central domain	1
5mSIPHEX1_0_scaffold_3_c1_574	5mSIPHEX1_0	PF02773	S-adenosylmethionine synthetase, C-terminal domain	1
5mSIPHEX1_0_scaffold_9_c1_333	5mSIPHEX1_0	PF01467	Cytidylyltransferase-like	2
5mSIPHEX1_0_scaffold_12_c2_371	5mSIPHEX1_0	PF03143	Elongation factor Tu C-terminal domain	2
5mSIPHEX1_0_scaffold_12_c2_371	5mSIPHEX1_0	PF00009	Elongation factor Tu GTP binding domain	7
5mSIPHEX1_0_scaffold_12_c2_371	5mSIPHEX1_0	PF03144	Elongation factor Tu domain 2	5
5mSIPHEX1_0_scaffold_41_c1_145	5mSIPHEX1_0	PF03358	NADPH-dependent FMN reductase	4
5mSIPHEX1_0_scaffold_4_c1_364	5mSIPHEX1_0	PF09424	Yqey-like protein	1
5mSIPHEX1_0_scaffold_23_c1_281	5mSIPHEX1_0	PF03734	L,D-transpeptidase catalytic domain	7
5mSIPHEX1_0_scaffold_23_c1_25	5mSIPHEX1_0	PF11799	impB/mucB/samB family C-terminal domain	2
5mSIPHEX1_0_scaffold_23_c1_25	5mSIPHEX1_0	PF00817	impB/mucB/samB family	2
5mSIPHEX1_0_scaffold_4_c1_3	5mSIPHEX1_0	PF00297	Ribosomal protein L3	1
5mSIPHEX1_0_scaffold_23_c1_53	5mSIPHEX1_0	PF00462	Glutaredoxin	4
5mSIPHEX1_0_scaffold_12_c2_167	5mSIPHEX1_0	PF01379	Porphobilinogen deaminase, dipyromethane cofactor binding domain	1
5mSIPHEX1_0_scaffold_12_c2_167	5mSIPHEX1_0	PF03900	Porphobilinogen deaminase, C-terminal domain	1
5mSIPHEX1_0_scaffold_12_c2_154	5mSIPHEX1_0	PF04325	Protein of unknown function (DUF465)	2
5mSIPHEX1_0_scaffold_41_c1_176	5mSIPHEX1_0	PF02620	Large ribosomal RNA subunit accumulation protein YceD	1
5mSIPHEX1_0_scaffold_3_c1_289	5mSIPHEX1_0	PF13416	Bacterial extracellular solute-binding protein	3
5mSIPHEX1_0_scaffold_9_c1_281	5mSIPHEX1_0	PF02574	Homocysteine S-methyltransferase	1
5mSIPHEX1_0_scaffold_4_c1_259	5mSIPHEX1_0	PF02746	Mandelate racemase / muconate lactonizing enzyme, N-terminal domain	4
5mSIPHEX1_0_scaffold_4_c1_259	5mSIPHEX1_0	PF13378	Enolase C-terminal domain-like	5
5mSIPHEX1_0_scaffold_12_c2_95	5mSIPHEX1_0	PF03450	CO dehydrogenase flavoprotein C-terminal domain	5
5mSIPHEX1_0_scaffold_12_c2_95	5mSIPHEX1_0	PF00941	FAD binding domain in molybdopterin dehydrogenase	6
5mSIPHEX1_0_scaffold_12_c2_96	5mSIPHEX1_0	PF01315	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain	7
5mSIPHEX1_0_scaffold_12_c2_96	5mSIPHEX1_0	PF20256	Molybdopterin cofactor-binding domain	7
5mSIPHEX1_0_scaffold_12_c2_96	5mSIPHEX1_0	PF02738	Molybdopterin cofactor-binding domain	7
5mSIPHEX1_0_scaffold_4_c1_566	5mSIPHEX1_0	PF17827	PrmC N-terminal domain	1
5mSIPHEX1_0_scaffold_4_c1_566	5mSIPHEX1_0	PF05175	Methyltransferase small domain	3
5mSIPHEX1_0_scaffold_4_c1_261	5mSIPHEX1_0	PF05099	Tellurite resistance protein TerB	4
5mSIPHEX1_0_scaffold_3_c1_195	5mSIPHEX1_0	PF02653	Branched-chain amino acid transport system / permease component	17
5mSIPHEX1_0_scaffold_9_c1_287	5mSIPHEX1_0	PF07045	Domain of unknown function (DUF1330)	1
5mSIPHEX1_0_scaffold_62_c1_100	5mSIPHEX1_0	PF01202	Shikimate kinase	1
5mSIPHEX1_0_scaffold_9_c1_294	5mSIPHEX1_0	PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	21
5mSIPHEX1_0_scaffold_9_c1_294	5mSIPHEX1_0	PF00512	His Kinase A (phospho-acceptor) domain	14
5mSIPHEX1_0_scaffold_23_c1_2	5mSIPHEX1_0	PF00174	Oxidoreductase molybdopterin binding domain	3
5mSIPHEX1_0_scaffold_3_c1_653	5mSIPHEX1_0	PF13361	UvrD-like helicase C-terminal domain	2
5mSIPHEX1_0_scaffold_3_c1_653	5mSIPHEX1_0	PF21196	PcrA/UvrD tudor domain	1
5mSIPHEX1_0_scaffold_3_c1_653	5mSIPHEX1_0	PF00580	UvrD/REP helicase N-terminal domain	2
5mSIPHEX1_0_scaffold_62_c1_79	5mSIPHEX1_0	PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	10
5mSIPHEX1_0_scaffold_62_c1_126	5mSIPHEX1_0	PF13413	Helix-turn-helix domain	1
5mSIPHEX1_0_scaffold_62_c1_126	5mSIPHEX1_0	PF13464	RodZ C-terminal domain	1
5mSIPHEX1_0_scaffold_3_c1_301	5mSIPHEX1_0	PF00528	Binding-protein-dependent transport system inner membrane component	54
5mSIPHEX1_0_scaffold_3_c1_46	5mSIPHEX1_0	PF00664	ABC transporter transmembrane region	5
5mSIPHEX1_0_scaffold_3_c1_46	5mSIPHEX1_0	PF00005	ABC transporter	74
5mSIPHEX1_0_scaffold_3_c1_460	5mSIPHEX1_0	PF13419	Haloacid dehalogenase-like hydrolase	3
5mSIPHEX1_0_scaffold_256_c1_27	5mSIPHEX1_0	PF06082	Exopolysaccharide biosynthesis protein YbjH	1
5mSIPHEX1_0_scaffold_3_c1_330	5mSIPHEX1_0	PF04295	D-galactarate dehydratase/Altronate hydrolase, second domain	2
5mSIPHEX1_0_scaffold_3_c1_330	5mSIPHEX1_0	PF08666	SAF domain	1
5mSIPHEX1_0_scaffold_3_c1_330	5mSIPHEX1_0	PF20629	D-galactarate/Altronate dehydratase, C-terminal	2
5mSIPHEX1_0_scaffold_9_c1_241	5mSIPHEX1_0	PF02685	Glucokinase	1
5mSIPHEX1_0_scaffold_4_c1_397	5mSIPHEX1_0	PF02880	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III	2
5mSIPHEX1_0_scaffold_4_c1_397	5mSIPHEX1_0	PF02878	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I	2
5mSIPHEX1_0_scaffold_4_c1_397	5mSIPHEX1_0	PF02879	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II	2
5mSIPHEX1_0_scaffold_4_c1_397	5mSIPHEX1_0	PF00408	Phosphoglucomutase/phosphomannomutase, C-terminal domain	2
5mSIPHEX1_0_scaffold_9_c1_149	5mSIPHEX1_0	PF01255	Putative undecaprenyl diphosphate synthase	1
5mSIPHEX1_0_scaffold_4_c1_556	5mSIPHEX1_0	PF02616	Segregation and condensation protein ScpA	1
5mSIPHEX1_0_scaffold_41_c1_140	5mSIPHEX1_0	PF00795	Carbon-nitrogen hydrolase	4
5mSIPHEX1_0_scaffold_4_c1_126	5mSIPHEX1_0	PF00271	Helicase conserved C-terminal domain	11
5mSIPHEX1_0_scaffold_4_c1_126	5mSIPHEX1_0	PF00270	DEAD/DEAH box helicase	9
5mSIPHEX1_0_scaffold_9_c1_206	5mSIPHEX1_0	PF02416	mttA/Hcf106 family	2
5mSIPHEX1_0_scaffold_3679_c1_1	5mSIPHEX1_0	PF04909	Amidohydrolase	4
5mSIPHEX1_0_scaffold_62_c1_71	5mSIPHEX1_0	PF04376	Arginine-tRNA-protein transferase, N terminus	1
5mSIPHEX1_0_scaffold_62_c1_71	5mSIPHEX1_0	PF04377	Arginine-tRNA-protein transferase, C terminus	1
5mSIPHEX1_0_scaffold_12_c2_69	5mSIPHEX1_0	PF05275	Copper resistance protein B precursor (CopB)	1
5mSIPHEX1_0_scaffold_12_c2_184	5mSIPHEX1_0	PF01180	Dihydroorotate dehydrogenase	2
5mSIPHEX1_0_scaffold_12_c2_360	5mSIPHEX1_0	PF19576	Acyltransferase	1
5mSIPHEX1_0_scaffold_190_c1_18	5mSIPHEX1_0	PF01565	FAD binding domain	9
5mSIPHEX1_0_scaffold_190_c1_18	5mSIPHEX1_0	PF02873	UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain	1
5mSIPHEX1_0_scaffold_3679_c1_3	5mSIPHEX1_0	PF13561	Enoyl-(Acyl carrier protein) reductase	19
5mSIPHEX1_0_scaffold_3_c1_476	5mSIPHEX1_0	PF00749	tRNA synthetases class I (E and Q), catalytic domain	3
5mSIPHEX1_0_scaffold_3_c1_476	5mSIPHEX1_0	PF19269	Anticodon binding domain	2
5mSIPHEX1_0_scaffold_4_c1_330	5mSIPHEX1_0	PF04542	Sigma-70 region 2	8
5mSIPHEX1_0_scaffold_4_c1_330	5mSIPHEX1_0	PF08281	Sigma-70, region 4	4
5mSIPHEX1_0_scaffold_12_c2_252	5mSIPHEX1_0	PF00293	NUDIX domain	9
5mSIPHEX1_0_scaffold_12_c2_252	5mSIPHEX1_0	PF09296	NADH pyrophosphatase-like rudimentary NUDIX domain	1
5mSIPHEX1_0_scaffold_12_c2_252	5mSIPHEX1_0	PF09297	NADH pyrophosphatase zinc ribbon domain	1
5mSIPHEX1_0_scaffold_4_c1_329	5mSIPHEX1_0	PF13202	EF hand	1
5mSIPHEX1_0_scaffold_659_c1_5	5mSIPHEX1_0	PF13730	Helix-turn-helix domain	1
5mSIPHEX1_0_scaffold_2931_c1_1	5mSIPHEX1_0	PF04138	GtrA-like protein	1
5mSIPHEX1_0_scaffold_3_c1_239	5mSIPHEX1_0	PF01256	Carbohydrate kinase	1
5mSIPHEX1_0_scaffold_3_c1_239	5mSIPHEX1_0	PF03853	YjeF-related protein N-terminus	1
5mSIPHEX1_0_scaffold_12_c2_50	5mSIPHEX1_0	PF03740	Pyridoxal phosphate biosynthesis protein PdxJ	1
5mSIPHEX1_0_scaffold_4_c1_336	5mSIPHEX1_0	PF00656	Caspase domain	1
5mSIPHEX1_0_scaffold_4_c1_515	5mSIPHEX1_0	PF00392	Bacterial regulatory proteins, gntR family	18
5mSIPHEX1_0_scaffold_4_c1_515	5mSIPHEX1_0	PF07729	FCD domain	14
5mSIPHEX1_0_scaffold_3_c1_517	5mSIPHEX1_0	PF01042	Endoribonuclease L-PSP	2
5mSIPHEX1_0_scaffold_12_c2_35	5mSIPHEX1_0	PF10502	Signal peptidase, peptidase S26	1
