MEROPS_family	domain_name	5mSIPHEX1_0	5mSIPHEX1_1	5mSIPHEX1_10	5mSIPHEX1_11	5mSIPHEX1_13	5mSIPHEX1_15	5mSIPHEX1_18	5mSIPHEX1_19	5mSIPHEX1_2	5mSIPHEX1_25	5mSIPHEX1_26	5mSIPHEX1_32	5mSIPHEX1_33	5mSIPHEX1_37	5mSIPHEX1_8	5mSIPHEX1_9	5mSIPHEX2_10	5mSIPHEX2_14	5mSIPHEX2_16	5mSIPHEX2_18	5mSIPHEX2_25	5mSIPHEX2_3	5mSIPHEX2_5	5mSIPHEX2_7	700mSIPHEX1_0	700mSIPHEX1_1	700mSIPHEX1_12	700mSIPHEX1_15	700mSIPHEX1_17	700mSIPHEX1_18	700mSIPHEX1_2	700mSIPHEX1_20	700mSIPHEX1_3	700mSIPHEX1_8	700mSIPHEX2_13	700mSIPHEX2_14	700mSIPHEX2_16	700mSIPHEX2_21	700mSIPHEX2_22	700mSIPHEX2_23	700mSIPHEX2_24	700mSIPHEX2_9
MER0029893	HslV component of HslUV peptidase | T01.006	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0036043	glutamate synthase | C44.003	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0043258	urease | M38.982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MER0047854	family M41 unassigned peptidases | M41.UPW	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0048082	methionyl aminopeptidase 1 | M24.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0048114	peptidase Clp | S14.001	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0048417	Lon-A peptidase | S16.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0048419	HslV component of HslUV peptidase | T01.006	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0049030	family M41 unassigned peptidases | M41.UPW	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0049036	HslV component of HslUV peptidase | T01.006	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0049044	peptidase Clp | S14.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0049103	Lon-A peptidase | S16.001	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0051408	TldD peptidase | M103.001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MER0051423	HslV component of HslUV peptidase | T01.006	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0052008	amidophosphoribosyltransferase precursor | C44.001	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MER0055456	Lon-A peptidase | S16.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0055529	Lon-A peptidase | S16.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0060698	peptidase Clp | S14.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0060699	HslV component of HslUV peptidase | T01.006	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0060700	peptidase Clp | S14.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0060701	peptidase Clp | S14.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0060704	HslV component of HslUV peptidase | T01.006	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0060705	peptidase Clp | S14.001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MER0060706	HslV component of HslUV peptidase | T01.006	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0060710	peptidase Clp | S14.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0060711	HslV component of HslUV peptidase | T01.006	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0060758	Lon-A peptidase | S16.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0060759	HslV component of HslUV peptidase | T01.006	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0060763	Lon-A peptidase | S16.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0060766	HslV component of HslUV peptidase | T01.006	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0060778	Lon-A peptidase | S16.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0060784	Lon-A peptidase | S16.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0060788	Lon-A peptidase | S16.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0060796	HslV component of HslUV peptidase | T01.006	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0060797	peptidase Clp | S14.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0060798	Lon-A peptidase | S16.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0060813	C-terminal processing peptidase-3 | S41.004	1	0	0	0	1	0	0	0	0	0	0	0	0	4	1	0	1	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0060815	peptidase Clp | S14.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0060816	Lon-A peptidase | S16.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0060817	HslV component of HslUV peptidase | T01.006	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0061964	peptidase Clp | S14.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0062211	peptidase Clp | S14.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0062213	Lon-A peptidase | S16.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0067665	urease | M38.982	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0067826	urease | M38.982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MER0068367	glutamate synthase | C44.003	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MER0068690	C-terminal processing peptidase-3 | S41.004	1	0	0	0	1	0	0	0	0	0	0	0	0	4	1	0	1	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0068695	glutamate synthase | C44.003	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0068782	family S9 unassigned peptidases | S09.UPW	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0068785	family C26 unassigned peptidases | C26.UPW	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0068787	aminodeoxychorismate synthase, subunit II | C26.955	1	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0068827	family M38 non-peptidase homologues | M38.UNW	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0068828	glutamate synthase | C44.003	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0068853	urease | M38.982	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0068875	subfamily S9C unassigned peptidases | S09.UPC	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0068879	GMP synthase | C26.957	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0068881	dihydropyrimidinase | M38.973	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0068882	family M20 unassigned peptidases | M20.UPW	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MER0074145	subfamily S9C unassigned peptidases | S09.UPC	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0074170	amidophosphoribosyltransferase precursor | C44.001	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MER0074566	peptidase Clp | S14.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0080435	C-terminal processing peptidase-3 | S41.004	1	0	0	0	1	0	0	0	0	0	0	0	0	4	1	0	1	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0080438	HslV component of HslUV peptidase | T01.006	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0080464	peptidase Clp | S14.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0080465	Lon-A peptidase | S16.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0081966	GMP synthase | C26.957	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0081973	family M38 unassigned peptidases | M38.UPW	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0081981	CTP synthetase | C26.964	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0081985	subfamily S9C unassigned peptidases | S09.UPC	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0083095	methionyl aminopeptidase 1 | M24.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0083101	methionyl aminopeptidase 1 | M24.001	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0083280	methionyl aminopeptidase 1 | M24.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0083405	methionyl aminopeptidase 1 | M24.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0086037	family M41 unassigned peptidases | M41.UPW	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0086208	peptidase Clp | S14.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0086229	Lon-A peptidase | S16.001	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0086249	HslV component of HslUV peptidase | T01.006	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0091156	methionyl aminopeptidase 1 | M24.001	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0091310	HslV component of HslUV peptidase | T01.006	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0095568	methionyl aminopeptidase 1 | M24.001	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MER0099756	glutamate synthase | C44.003	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0099785	TldD peptidase | M103.001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MER0099790	family C26 unassigned peptidases | C26.UPW	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0099801	GMP synthase | C26.957	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0099804	subfamily S9C unassigned peptidases | S09.UPC	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0099808	Lon-A peptidase | S16.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0099818	amidophosphoribosyltransferase precursor | C44.001	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MER0099830	urease | M38.982	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0099841	CTP synthetase | C26.964	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0105454	family M41 unassigned peptidases | M41.UPW	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0105515	family M41 unassigned peptidases | M41.UPW	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0105565	family M41 unassigned peptidases | M41.UPW	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0105570	family M41 unassigned peptidases | M41.UPW	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0105571	family M41 unassigned peptidases | M41.UPW	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0105604	family M41 unassigned peptidases | M41.UPW	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0105606	family M41 unassigned peptidases | M41.UPW	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0105617	family M41 unassigned peptidases | M41.UPW	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0108859	Lon-A peptidase | S16.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0108886	Lon-A peptidase | S16.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0108888	Lon-A peptidase | S16.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0109031	Lon-A peptidase | S16.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0109993	Lon-A peptidase | S16.001	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0110038	Lon-A peptidase | S16.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MER0116984	amidophosphoribosyltransferase precursor | C44.001	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MER0117859	amidophosphoribosyltransferase precursor | C44.001	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MER0118884	amidophosphoribosyltransferase precursor | C44.001	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MER0119239	amidophosphoribosyltransferase precursor | C44.001	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MER0119613	amidophosphoribosyltransferase precursor | C44.001	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MER0119714	peptidase Clp | S14.001	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
MER0119929	amidophosphoribosyltransferase precursor | C44.001	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MER0120084	amidophosphoribosyltransferase precursor | C44.001	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
