Bin_name	MEROPS_family	domain_name	Abundance
5mSIPHEX1_1	family C40 unassigned peptidases | Planktomarina temperata | C40.UPW	MER0719057	1
5mSIPHEX1_1	family I87 unassigned peptidase inhibitors |  | I87.UPW	MER0797871	1
5mSIPHEX1_1	family I87 unassigned peptidase inhibitors | Planktomarina temperata | I87.UPW	MER0797987	2
5mSIPHEX1_1	family I87 unassigned peptidase inhibitors | Planktomarina temperata | I87.UPW	MER0802489	2
5mSIPHEX1_1	family M17 unassigned peptidases | Planktomarina temperata | M17.UPW	MER0930003	1
5mSIPHEX1_1	family M19 non-peptidase homologues | Planktomarina temperata | M19.UNW	MER0802504	1
5mSIPHEX1_1	family M20 non-peptidase homologues | Planktomarina temperata | M20.UNW	MER0841606	1
5mSIPHEX1_1	family M20 unassigned peptidases | Planktomarina temperata | M20.UPW	MER0808852	1
5mSIPHEX1_1	family M20D unassigned peptidases | Planktomarina temperata | M20.UPD	MER0736382	2
5mSIPHEX1_1	family M20D unassigned peptidases | Planktomarina temperata | M20.UPD	MER0841683	2
5mSIPHEX1_1	family M38 non-peptidase homologues | Planktomarina temperata | M38.UNW	MER0859340	1
5mSIPHEX1_1	family M41 unassigned peptidases | Planktomarina temperata | M41.UPW	MER0872453	1
5mSIPHEX1_1	family M74 unassigned peptidases | Planktomarina temperata | M74.UPW	MER1263611	1
5mSIPHEX1_1	family S11 unassigned peptidases | Planktomarina temperata | S11.UPW	MER0949756	2
5mSIPHEX1_1	family S11 unassigned peptidases | Planktomarina temperata | S11.UPW	MER0984674	2
5mSIPHEX1_1	family S13 unassigned peptidases | Planktomarina temperata | S13.UPW	MER1006665	1
5mSIPHEX1_1	family S14 unassigned peptidases | Planktomarina temperata | S14.UPW	MER1017777	1
5mSIPHEX1_1	family S15 non-peptidase homologues |  | S15.UNW	MER1021646	1
5mSIPHEX1_1	family S15 non-peptidase homologues | Actibacterium atlanticum | S15.UNW	MER1023823	1
5mSIPHEX1_1	family S15 non-peptidase homologues | Actibacterium mucosum | S15.UNW	MER1025022	1
5mSIPHEX1_1	family S15 non-peptidase homologues | Leisingera methylohalidivorans | S15.UNW	MER1019523	1
5mSIPHEX1_1	family S15 non-peptidase homologues | Leisingera sp. ANG-M1 | S15.UNW	MER1022219	1
5mSIPHEX1_1	family S15 non-peptidase homologues | Leisingera sp. ANG-M7 | S15.UNW	MER1024677	1
5mSIPHEX1_1	family S15 non-peptidase homologues | Leisingera sp. ANG-Vp | S15.UNW	MER1023129	1
5mSIPHEX1_1	family S15 non-peptidase homologues | Leisingera sp. ANG1 | S15.UNW	MER1024554	1
5mSIPHEX1_1	family S15 non-peptidase homologues | Loktanella sp. S4079 | S15.UNW	MER1022858	1
5mSIPHEX1_1	family S15 non-peptidase homologues | Loktanella vestfoldensis | S15.UNW	MER1022025	1
5mSIPHEX1_1	family S15 non-peptidase homologues | Octadecabacter antarcticus | S15.UNW	MER1022160	1
5mSIPHEX1_1	family S15 non-peptidase homologues | Octadecabacter arcticus | S15.UNW	MER1026065	1
5mSIPHEX1_1	family S15 non-peptidase homologues | Phaeobacter gallaeciensis | S15.UNW	MER1022102	1
5mSIPHEX1_1	family S15 non-peptidase homologues | Phaeobacter inhibens | S15.UNW	MER1020006	1
5mSIPHEX1_1	family S15 non-peptidase homologues | Ponticoccus sp. UMTAT08 | S15.UNW	MER1020540	1
5mSIPHEX1_1	family S15 non-peptidase homologues | Roseobacter sp. AzwK-3b | S15.UNW	MER1025887	1
5mSIPHEX1_1	family S15 non-peptidase homologues | Roseobacter sp. CCS2 | S15.UNW	MER1020644	1
5mSIPHEX1_1	family S15 non-peptidase homologues | Roseovarius sp. TM1035 | S15.UNW	MER1022177	1
5mSIPHEX1_1	family S15 non-peptidase homologues | Ruegeria mobilis | S15.UNW	MER1022384	1
5mSIPHEX1_1	family S15 non-peptidase homologues | Ruegeria sp. ANG-S4 | S15.UNW	MER1023597	1
5mSIPHEX1_1	family S15 non-peptidase homologues | Ruegeria sp. R11 | S15.UNW	MER1025487	1
5mSIPHEX1_1	family S16 non-peptidase homologues | Planktomarina temperata | S16.UNW	MER1034434	1
5mSIPHEX1_1	family S16 unassigned peptidases | Planktomarina temperata | S16.UPW	MER1030469	1
5mSIPHEX1_1	family S24 unassigned peptidases | Planktomarina temperata | S24.UPW	MER1045330	1
5mSIPHEX1_1	family S33 unassigned peptidases |  | S33.UPW	MER0036463	1
5mSIPHEX1_1	family S33 unassigned peptidases | Planktomarina temperata | S33.UPW	MER1340384	1
5mSIPHEX1_1	family S54 non-peptidase homologues | Planktomarina temperata | S54.UNW	MER1080465	1
5mSIPHEX1_1	family S9 unassigned peptidases |  | S09.UPW	MER0478061	1
5mSIPHEX1_1	family S9 unassigned peptidases | Leisingera methylohalidivorans | S09.UPW	MER0504400	1
5mSIPHEX1_1	family S9 unassigned peptidases | Loktanella vestfoldensis | S09.UPW	MER0477539	1
5mSIPHEX1_1	family S9 unassigned peptidases | Octadecabacter antarcticus | S09.UPW	MER0506719	1
5mSIPHEX1_1	family S9 unassigned peptidases | Octadecabacter arcticus | S09.UPW	MER0506524	1
5mSIPHEX1_1	family S9 unassigned peptidases | Phaeobacter gallaeciensis | S09.UPW	MER0477997	1
5mSIPHEX1_1	family S9 unassigned peptidases | Phaeobacter sp. S26 | S09.UPW	MER1026052	1
5mSIPHEX1_1	family S9 unassigned peptidases | Roseibacterium elongatum | S09.UPW	MER1022039	1
5mSIPHEX1_1	family S9 unassigned peptidases | Roseobacter sp. AzwK-3b | S09.UPW	MER0477430	1
5mSIPHEX1_1	family S9 unassigned peptidases | Roseobacter sp. CCS2 | S09.UPW	MER0477798	1
5mSIPHEX1_1	family S9 unassigned peptidases | Roseovarius sp. TM1035 | S09.UPW	MER0477683	1
5mSIPHEX1_1	family S9 unassigned peptidases | Ruegeria sp. ANG-R | S09.UPW	MER1026817	1
5mSIPHEX1_1	family S9 unassigned peptidases | Ruegeria sp. R11 | S09.UPW	MER0477680	1
5mSIPHEX1_1	family S9 unassigned peptidases | Ruegeria sp. TW15 | S09.UPW	MER0478101	1
5mSIPHEX1_1	family T3 unassigned peptidases | Planktomarina temperata | T03.UPW	MER1098382	1
5mSIPHEX1_1	family T5 unassigned peptidases | Planktomarina temperata | T05.UPW	MER1103277	1
5mSIPHEX1_1	subfamily C82A unassigned peptidases | Planktomarina temperata | C82.UPA	MER0738356	6
5mSIPHEX1_1	subfamily C82A unassigned peptidases | Planktomarina temperata | C82.UPA	MER0740228	3
5mSIPHEX1_1	subfamily M16B non-peptidase homologues | Planktomarina temperata | M16.UNB	MER0927937	1
5mSIPHEX1_1	subfamily M16B unassigned peptidases | Planktomarina temperata | M16.UPB	MER0926503	1
5mSIPHEX1_1	subfamily M20A unassigned peptidases | Planktomarina temperata | M20.UPA	MER0841938	1
5mSIPHEX1_1	subfamily M20D non-peptidase homologues | Planktomarina temperata | M20.UND	MER0843280	2
5mSIPHEX1_1	subfamily M20D non-peptidase homologues | Planktomarina temperata | M20.UND	MER0850124	2
5mSIPHEX1_1	subfamily M3A unassigned peptidases | Planktomarina temperata | M03.UPA	MER0817624	1
5mSIPHEX1_1	subfamily M48C unassigned peptidases | Planktomarina temperata | M48.UPC	MER0886808	2
5mSIPHEX1_1	subfamily M48C unassigned peptidases | Planktomarina temperata | M48.UPC	MER0888785	2
5mSIPHEX1_1	subfamily M50B unassigned peptidases | Planktomarina temperata | M50.UPB	MER0892865	1
5mSIPHEX1_1	subfamily S1C unassigned peptidases |  | S01.UPC	MER0211352	1
5mSIPHEX1_1	subfamily S26A unassigned peptidases | Planktomarina temperata | S26.UPA	MER1047630	1
5mSIPHEX1_1	subfamily S41A unassigned peptidases | Planktomarina temperata | S41.UPA	MER1052920	1
5mSIPHEX1_1	subfamily S49B unassigned peptidases | Planktomarina temperata | S49.UPB	MER1066652	1
5mSIPHEX1_1	subfamily S9C unassigned peptidases | Silicibacter sp. TM1040 | S09.UPC	MER0068875	1
5mSIPHEX1_1	subfamily T1A unassigned peptidases | Planktomarina temperata | T01.UPA	MER1089213	1
5mSIPHEX1_1	urease | Planktomarina temperata | M38.982	MER0859639	1
5mSIPHEX1_10	C-terminal processing peptidase-1 | Marinobacter algicola | S41.001	MER0105209	2
5mSIPHEX1_10	C-terminal processing peptidase-1 | Marinobacter algicola | S41.001	MER0166556	2
5mSIPHEX1_10	C-terminal processing peptidase-3 | Marinobacter algicola | S41.004	MER0105207	1
5mSIPHEX1_10	CTP synthetase | Marinobacter adhaerens | C26.964	MER0447158	1
5mSIPHEX1_10	CTP synthetase | Marinobacter algicola | C26.964	MER0447612	1
5mSIPHEX1_10	CTP synthetase | Marinobacter hydrocarbonoclasticus | C26.964	MER0437973	1
5mSIPHEX1_10	CTP synthetase | Marinobacter manganoxydans | C26.964	MER0447223	1
5mSIPHEX1_10	CTP synthetase | Marinobacter sp. ELB17 | C26.964	MER0446671	1
5mSIPHEX1_10	D-Ala-D-Ala carboxypeptidase PBP3 | Marinobacter algicola | S13.003	MER0139845	1
5mSIPHEX1_10	D-Ala-D-Ala carboxypeptidase PBP3 | Marinobacter salarius | S13.003	MER1029552	1
5mSIPHEX1_10	DDB_G0276405 | {Dictyostelium discoideum} | C56.A06	MER0133977	3
5mSIPHEX1_10	DDB_G0276405 | {Dictyostelium discoideum} | C56.A06	MER0143055	3
5mSIPHEX1_10	DDB_G0276405 | {Dictyostelium discoideum} | C56.A06	MER0384966	3
5mSIPHEX1_10	DNA repair protein RadA | {Escherichia coli} | S16.A04	MER0076774	2
5mSIPHEX1_10	DNA repair protein RadA | {Escherichia coli} | S16.A04	MER0133796	2
5mSIPHEX1_10	FlhB protein | {Escherichia coli} | N06.A01	MER0405320	1
5mSIPHEX1_10	FtsH peptidase | Marinobacter adhaerens | M41.001	MER0135037	1
5mSIPHEX1_10	FtsH peptidase | Marinobacter algicola | M41.001	MER0105520	1
5mSIPHEX1_10	FtsH peptidase | Marinobacter hydrocarbonoclasticus | M41.001	MER0076853	1
5mSIPHEX1_10	FtsH peptidase | Marinobacter lipolyticus | M41.001	MER0874308	1
5mSIPHEX1_10	FtsH peptidase | Marinobacter manganoxydans | M41.001	MER0300700	1
5mSIPHEX1_10	FtsH peptidase | Marinobacter salarius | M41.001	MER0876583	1
5mSIPHEX1_10	FtsH peptidase | Marinobacter santoriniensis | M41.001	MER0878778	1
5mSIPHEX1_10	FtsH peptidase | Marinobacter sp. AK21 | M41.001	MER0876438	1
5mSIPHEX1_10	FtsH peptidase | Marinobacter sp. C1S70 | M41.001	MER0874207	1
5mSIPHEX1_10	FtsH peptidase | Marinobacter sp. EN3 | M41.001	MER0865776	1
5mSIPHEX1_10	FtsH peptidase | Marinobacter sp. ES-1 | M41.001	MER0829898	1
5mSIPHEX1_10	FtsH peptidase | Marinobacter sp. EVN1 | M41.001	MER0876114	1
5mSIPHEX1_10	GMP synthase | Marinobacter hydrocarbonoclasticus | C26.957	MER0076794	1
5mSIPHEX1_10	GMP synthase | Marinobacter sp. ELB17 | C26.957	MER0443294	1
5mSIPHEX1_10	HflC | Marinobacter algicola | I87.001	MER0328443	1
5mSIPHEX1_10	HslV component of HslUV peptidase | Marinobacter adhaerens | T01.006	MER0133744	1
5mSIPHEX1_10	HslV component of HslUV peptidase | Marinobacter algicola | T01.006	MER0139479	1
5mSIPHEX1_10	HslV component of HslUV peptidase | Marinobacter manganoxydans | T01.006	MER0323548	1
5mSIPHEX1_10	HslV component of HslUV peptidase | Marinobacter sp. ELB17 | T01.006	MER0140230	1
5mSIPHEX1_10	HtpX peptidase | Marinobacter adhaerens | M48.002	MER0134627	1
5mSIPHEX1_10	HtpX peptidase | Marinobacter algicola | M48.002	MER0138469	1
5mSIPHEX1_10	HtpX peptidase | Marinobacter lipolyticus | M48.002	MER0886461	1
5mSIPHEX1_10	HtpX peptidase | Marinobacter manganoxydans | M48.002	MER0296202	1
5mSIPHEX1_10	LdtF protein | {Escherichia coli} | C82.A01	MER0244049	1
5mSIPHEX1_10	Lon-A peptidase | Marinobacter adhaerens | S16.001	MER0134679	1
5mSIPHEX1_10	Lon-A peptidase | Marinobacter algicola | S16.001	MER0109509	1
5mSIPHEX1_10	Lon-A peptidase | Marinobacter hydrocarbonoclasticus | S16.001	MER0076797	1
5mSIPHEX1_10	Lon-A peptidase | Marinobacter manganoxydans | S16.001	MER0299792	1
5mSIPHEX1_10	PepA aminopeptidase | Marinobacter algicola | M17.003	MER0105865	1
5mSIPHEX1_10	RhoII peptidase | {Haloferax volcanii} | S54.027	MER0109833	1
5mSIPHEX1_10	TseI g.p. | {Aeromonas dhakensis} | A39.001	MER1366900	3
5mSIPHEX1_10	TseI g.p. | {Aeromonas dhakensis} | A39.001	MER1366902	3
5mSIPHEX1_10	TseI g.p. | {Aeromonas dhakensis} | A39.001	MER1366903	3
5mSIPHEX1_10	acetylornithine deacetylase ArgE | Marinobacter algicola | M20.974	MER0853416	1
5mSIPHEX1_10	acyl-homoserine lactone acylase | Marinobacter algicola | S45.004	MER1064642	1
5mSIPHEX1_10	alanyl aminopeptidase | bacterial-type | M01.005	MER0166720	2
5mSIPHEX1_10	alanyl aminopeptidase | bacterial-type | M01.005	MER0812240	2
5mSIPHEX1_10	amidophosphoribosyltransferase precursor | Marinobacter adhaerens | C44.001	MER0134569	1
5mSIPHEX1_10	amidophosphoribosyltransferase precursor | Marinobacter algicola | C44.001	MER0138548	1
5mSIPHEX1_10	aminodeoxychorismate synthase, subunit II | Marinobacter algicola | C26.955	MER0436032	1
5mSIPHEX1_10	aminodeoxychorismate synthase, subunit II | Marinobacter hydrocarbonoclasticus | C26.955	MER0076861	1
5mSIPHEX1_10	aminopeptidase P | bacteria | M24.004	MER0105208	2
5mSIPHEX1_10	aminopeptidase P | bacteria | M24.004	MER1242861	2
5mSIPHEX1_10	family A8 unassigned peptidases | Marinobacter hydrocarbonoclasticus | A08.UPW	MER0076787	1
5mSIPHEX1_10	family A8 unassigned peptidases | Marinobacter manganoxydans | A08.UPW	MER0324424	1
5mSIPHEX1_10	family A8 unassigned peptidases | Marinobacter persicus | A08.UPW	MER1153020	1
5mSIPHEX1_10	family A8 unassigned peptidases | Marinobacter salarius | A08.UPW	MER0581178	2
5mSIPHEX1_10	family A8 unassigned peptidases | Marinobacter salarius | A08.UPW	MER0587492	2
5mSIPHEX1_10	family A8 unassigned peptidases | Marinobacter vinifirmus | A08.UPW	MER1152984	1
5mSIPHEX1_10	family A8 unassigned peptidases | Pseudomonas pelagia | A08.UPW	MER1152944	1
5mSIPHEX1_10	family C26 unassigned peptidases | Marinobacter adhaerens | C26.UPW	MER0134626	1
5mSIPHEX1_10	family C26 unassigned peptidases | Marinobacter algicola | C26.UPW	MER0441798	5
5mSIPHEX1_10	family C26 unassigned peptidases | Marinobacter algicola | C26.UPW	MER0442767	5
5mSIPHEX1_10	family C26 unassigned peptidases | Marinobacter algicola | C26.UPW	MER0444928	5
5mSIPHEX1_10	family C26 unassigned peptidases | Marinobacter algicola | C26.UPW	MER0445588	5
5mSIPHEX1_10	family C26 unassigned peptidases | Marinobacter algicola | C26.UPW	MER0447886	5
5mSIPHEX1_10	family C26 unassigned peptidases | Marinobacter hydrocarbonoclasticus | C26.UPW	MER0437972	1
5mSIPHEX1_10	family C26 unassigned peptidases | Marinobacter manganoxydans | C26.UPW	MER0443304	1
5mSIPHEX1_10	family C39 unassigned peptidases | Marinobacter algicola | C39.UPW	MER0446061	1
5mSIPHEX1_10	family C40 unassigned peptidases | Marinobacter algicola | C40.UPW	MER0166866	1
5mSIPHEX1_10	family C40 unassigned peptidases | Marinobacter salarius | C40.UPW	MER0720536	1
5mSIPHEX1_10	family C44 non-peptidase homologues | Marinobacter algicola | C44.UNW	MER0455901	1
5mSIPHEX1_10	family C56 non-peptidase homologues | Marinobacter adhaerens | C56.UNW	MER0135226	1
5mSIPHEX1_10	family C56 non-peptidase homologues | Marinobacter algicola | C56.UNW	MER0166926	3
5mSIPHEX1_10	family C56 non-peptidase homologues | Marinobacter algicola | C56.UNW	MER0177105	3
5mSIPHEX1_10	family C56 non-peptidase homologues | Marinobacter algicola | C56.UNW	MER0177565	3
5mSIPHEX1_10	family C56 non-peptidase homologues | Marinobacter manganoxydans | C56.UNW	MER0733116	1
5mSIPHEX1_10	family C56 unassigned peptidases | Marinobacter lipolyticus | C56.UPW	MER0913369	1
5mSIPHEX1_10	family C56 unassigned peptidases | Marinobacter salarius | C56.UPW	MER0733632	1
5mSIPHEX1_10	family C56 unassigned peptidases | Marinobacter similis | C56.UPW	MER0734332	1
5mSIPHEX1_10	family C56 unassigned peptidases | Marinobacter sp. AK21 | C56.UPW	MER0734486	1
5mSIPHEX1_10	family I51 unassigned peptidase inhibitors | Marinobacter adhaerens | I51.UPW	MER0789118	1
5mSIPHEX1_10	family I51 unassigned peptidase inhibitors | Marinobacter algicola | I51.UPW	MER0785865	1
5mSIPHEX1_10	family I51 unassigned peptidase inhibitors | Marinobacter lipolyticus | I51.UPW	MER0784256	1
5mSIPHEX1_10	family I51 unassigned peptidase inhibitors | Marinobacter manganoxydans | I51.UPW	MER0785726	1
5mSIPHEX1_10	family I87 unassigned peptidase inhibitors | Marinobacter adhaerens | I87.UPW	MER0801833	1
5mSIPHEX1_10	family I87 unassigned peptidase inhibitors | Marinobacter algicola | I87.UPW	MER0409335	3
5mSIPHEX1_10	family I87 unassigned peptidase inhibitors | Marinobacter algicola | I87.UPW	MER0803338	3
5mSIPHEX1_10	family I87 unassigned peptidase inhibitors | Marinobacter algicola | I87.UPW	MER0805923	3
5mSIPHEX1_10	family I87 unassigned peptidase inhibitors | Marinobacter lipolyticus | I87.UPW	MER0796695	2
5mSIPHEX1_10	family I87 unassigned peptidase inhibitors | Marinobacter lipolyticus | I87.UPW	MER0800322	2
5mSIPHEX1_10	family I87 unassigned peptidase inhibitors | Marinobacter manganoxydans | I87.UPW	MER0794390	1
5mSIPHEX1_10	family I87 unassigned peptidase inhibitors | Marinobacter salarius | I87.UPW	MER0792843	3
5mSIPHEX1_10	family I87 unassigned peptidase inhibitors | Marinobacter salarius | I87.UPW	MER0795158	3
5mSIPHEX1_10	family I87 unassigned peptidase inhibitors | Marinobacter salarius | I87.UPW	MER0804672	3
5mSIPHEX1_10	family I87 unassigned peptidase inhibitors | Marinobacter similis | I87.UPW	MER0805495	1
5mSIPHEX1_10	family I87 unassigned peptidase inhibitors | Marinobacter sp. AK21 | I87.UPW	MER0807101	1
5mSIPHEX1_10	family I87 unassigned peptidase inhibitors | Marinobacter sp. C1S70 | I87.UPW	MER0806538	1
5mSIPHEX1_10	family I87 unassigned peptidase inhibitors | Marinobacter sp. EVN1 | I87.UPW	MER0808684	1
5mSIPHEX1_10	family M14 unassigned peptidases | Marinobacter algicola | M14.UPW	MER0468844	1
5mSIPHEX1_10	family M18 unassigned peptidases | Marinobacter algicola | M18.UPW	MER0105424	1
5mSIPHEX1_10	family M18 unassigned peptidases | Marinobacter salarius | M18.UPW	MER0931719	1
5mSIPHEX1_10	family M24 non-peptidase homologues | Marinobacter algicola | M24.UNW	MER0167029	1
5mSIPHEX1_10	family M38 non-peptidase homologues | Marinobacter salarius | M38.UNW	MER0873057	1
5mSIPHEX1_10	family M79 unassigned peptidases | Marinobacter algicola | G05.UPW	MER0938215	1
5mSIPHEX1_10	family M90 unassigned peptidases | Marinobacter algicola | M90.UPW	MER0286929	1
5mSIPHEX1_10	family M90 unassigned peptidases | Marinobacter salarius | M90.UPW	MER0903069	1
5mSIPHEX1_10	family N6 non-lyase homologues | Marinobacter salarius | N06.UNW	MER0910888	1
5mSIPHEX1_10	family S11 unassigned peptidases | Marinobacter algicola | S11.UPW	MER0124502	2
5mSIPHEX1_10	family S11 unassigned peptidases | Marinobacter algicola | S11.UPW	MER0950532	2
5mSIPHEX1_10	family S11 unassigned peptidases | Marinobacter salarius | S11.UPW	MER0950604	3
5mSIPHEX1_10	family S11 unassigned peptidases | Marinobacter salarius | S11.UPW	MER0982501	3
5mSIPHEX1_10	family S11 unassigned peptidases | Marinobacter salarius | S11.UPW	MER0987228	3
5mSIPHEX1_10	family S11 unassigned peptidases | Marinobacter sp. | S11.UPW	MER1308121	1
5mSIPHEX1_10	family S12 unassigned peptidases | Marinobacter algicola | S12.UPW	MER0989259	1
5mSIPHEX1_10	family S12 unassigned peptidases | Marinobacter salarius | S12.UPW	MER1008816	1
5mSIPHEX1_10	family S14 unassigned peptidases |  | S14.UPW	MER1317450	1
5mSIPHEX1_10	family S14 unassigned peptidases | Marinobacter lipolyticus | S14.UPW	MER1018768	1
5mSIPHEX1_10	family S14 unassigned peptidases | Marinobacter salarius | S14.UPW	MER1012440	1
5mSIPHEX1_10	family S14 unassigned peptidases | Marinobacter santoriniensis | S14.UPW	MER1015380	1
5mSIPHEX1_10	family S14 unassigned peptidases | Marinobacter similis | S14.UPW	MER1013955	1
5mSIPHEX1_10	family S14 unassigned peptidases | Marinobacter sp. AK21 | S14.UPW	MER1015873	1
5mSIPHEX1_10	family S14 unassigned peptidases | Marinobacter sp. ES-1 | S14.UPW	MER1017650	1
5mSIPHEX1_10	family S14 unassigned peptidases | Marinobacter sp. HL-58 | S14.UPW	MER1317792	1
5mSIPHEX1_10	family S14 unassigned peptidases | Marinobacter sp. LV10MA510-1 | S14.UPW	MER1317602	1
5mSIPHEX1_10	family S14 unassigned peptidases | Marinobacter sp. T13-3 | S14.UPW	MER1317571	1
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter adhaerens | S16.UPW	MER0134988	1
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter algicola | S16.UPW	MER0109787	3
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter algicola | S16.UPW	MER0166768	3
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter algicola | S16.UPW	MER1034322	3
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter hydrocarbonoclasticus | S16.UPW	MER0076851	1
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter lipolyticus | S16.UPW	MER1030982	3
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter lipolyticus | S16.UPW	MER1034018	3
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter lipolyticus | S16.UPW	MER1037712	3
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter manganoxydans | S16.UPW	MER0361639	2
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter manganoxydans | S16.UPW	MER1039399	2
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter pelagius | S16.UPW	MER1323107	1
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter santoriniensis | S16.UPW	MER1030688	3
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter santoriniensis | S16.UPW	MER1035970	3
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter santoriniensis | S16.UPW	MER1038985	3
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter shengliensis | S16.UPW	MER1325249	1
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter similis | S16.UPW	MER1032034	2
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter similis | S16.UPW	MER1032522	2
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter sp. AK21 | S16.UPW	MER1030536	2
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter sp. AK21 | S16.UPW	MER1039495	2
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter sp. C1S70 | S16.UPW	MER1031424	3
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter sp. C1S70 | S16.UPW	MER1035370	3
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter sp. C1S70 | S16.UPW	MER1039699	3
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter sp. EN3 | S16.UPW	MER1033298	3
5mSIPHEX1_10	family S16 unassigned peptidases | Marinobacter sp. EN3 | S16.UPW	MER1037678	3
