Module	Module_description	Pathway	Pathway_description	Cycle	Pathway_cycle	Detail_cycle	Genes	Gene_description	Enzyme	KO	rbims_pathway	rbims_sub_pathway	Bin_10	Bin_12	Bin_56	Bin_113	Bin_1	Bin_2
M00843	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	map00790	Folate biosynthesis	NA	NA	NA	queD, ptpS, PTS	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	ec:4.2.3.12	K01737	NA	NA	2	0	0	0	0	0
M00843	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	map00790	Folate biosynthesis	NA	NA	NA	queD, ptpS, PTS	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	ec:4.1.2.50	K01737	NA	NA	2	0	0	0	0	0
M00842	Tetrahydrobiopterin biosynthesis, GTP => BH4	map01100	Metabolic pathways	NA	NA	NA	queD, ptpS, PTS	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	ec:4.2.3.12	K01737	NA	NA	2	0	0	0	0	0
M00842	Tetrahydrobiopterin biosynthesis, GTP => BH4	map01100	Metabolic pathways	NA	NA	NA	queD, ptpS, PTS	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	ec:4.1.2.50	K01737	NA	NA	2	0	0	0	0	0
M00843	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	map01100	Metabolic pathways	NA	NA	NA	queD, ptpS, PTS	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	ec:4.2.3.12	K01737	NA	NA	2	0	0	0	0	0
M00843	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	map01100	Metabolic pathways	NA	NA	NA	queD, ptpS, PTS	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	ec:4.1.2.50	K01737	NA	NA	2	0	0	0	0	0
M00842	Tetrahydrobiopterin biosynthesis, GTP => BH4	map01240	Biosynthesis of cofactors	NA	NA	NA	queD, ptpS, PTS	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	ec:4.2.3.12	K01737	NA	NA	2	0	0	0	0	0
M00842	Tetrahydrobiopterin biosynthesis, GTP => BH4	map01240	Biosynthesis of cofactors	NA	NA	NA	queD, ptpS, PTS	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	ec:4.1.2.50	K01737	NA	NA	2	0	0	0	0	0
M00843	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	map01240	Biosynthesis of cofactors	NA	NA	NA	queD, ptpS, PTS	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	ec:4.2.3.12	K01737	NA	NA	2	0	0	0	0	0
M00843	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	map01240	Biosynthesis of cofactors	NA	NA	NA	queD, ptpS, PTS	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	ec:4.1.2.50	K01737	NA	NA	2	0	0	0	0	0
NA	NA	map00790	Folate biosynthesis	NA	NA	NA	mocA	molybdenum cofactor cytidylyltransferase [EC:2.7.7.76]	ec:2.7.7.76	K07141	NA	NA	1	0	0	0	0	0
NA	NA	NA	NA	NA	NA	NA	PITRM1, PreP, CYM1	presequence protease [EC:3.4.24.-]	NA	K06972	NA	NA	1	0	0	0	0	0
NA	NA	NA	NA	NA	NA	NA	ppsR	[pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase [EC:2.7.4.28 2.7.11.33]	ec:2.7.4.28	K09773	NA	NA	1	0	0	0	0	0
NA	NA	NA	NA	NA	NA	NA	ppsR	[pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase [EC:2.7.4.28 2.7.11.33]	ec:2.7.11.33	K09773	NA	NA	1	0	0	0	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map00010	Glycolysis / Gluconeogenesis	Carbon fixation	Reductive citrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map00010	Glycolysis / Gluconeogenesis	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00374	Dicarboxylate-hydroxybutyrate cycle	map00010	Glycolysis / Gluconeogenesis	Carbon fixation	Reductive citrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00374	Dicarboxylate-hydroxybutyrate cycle	map00010	Glycolysis / Gluconeogenesis	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map00620	Pyruvate metabolism	Carbon fixation	Reductive citrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map00620	Pyruvate metabolism	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00374	Dicarboxylate-hydroxybutyrate cycle	map00620	Pyruvate metabolism	Carbon fixation	Reductive citrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00374	Dicarboxylate-hydroxybutyrate cycle	map00620	Pyruvate metabolism	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map00680	Methane metabolism	Carbon fixation	Reductive citrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map00680	Methane metabolism	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00374	Dicarboxylate-hydroxybutyrate cycle	map00680	Methane metabolism	Carbon fixation	Reductive citrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00374	Dicarboxylate-hydroxybutyrate cycle	map00680	Methane metabolism	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map00720	Carbon fixation pathways in prokaryotes	Carbon fixation	Reductive citrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map00720	Carbon fixation pathways in prokaryotes	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00374	Dicarboxylate-hydroxybutyrate cycle	map00720	Carbon fixation pathways in prokaryotes	Carbon fixation	Reductive citrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00374	Dicarboxylate-hydroxybutyrate cycle	map00720	Carbon fixation pathways in prokaryotes	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01100	Metabolic pathways	Carbon fixation	Reductive citrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01100	Metabolic pathways	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00374	Dicarboxylate-hydroxybutyrate cycle	map01100	Metabolic pathways	Carbon fixation	Reductive citrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00374	Dicarboxylate-hydroxybutyrate cycle	map01100	Metabolic pathways	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01110	Biosynthesis of secondary metabolites	Carbon fixation	Reductive citrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01110	Biosynthesis of secondary metabolites	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00374	Dicarboxylate-hydroxybutyrate cycle	map01110	Biosynthesis of secondary metabolites	Carbon fixation	Reductive citrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00374	Dicarboxylate-hydroxybutyrate cycle	map01110	Biosynthesis of secondary metabolites	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01120	Microbial metabolism in diverse environments	Carbon fixation	Reductive citrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01120	Microbial metabolism in diverse environments	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00374	Dicarboxylate-hydroxybutyrate cycle	map01120	Microbial metabolism in diverse environments	Carbon fixation	Reductive citrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00374	Dicarboxylate-hydroxybutyrate cycle	map01120	Microbial metabolism in diverse environments	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01200	Carbon metabolism	Carbon fixation	Reductive citrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01200	Carbon metabolism	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00374	Dicarboxylate-hydroxybutyrate cycle	map01200	Carbon metabolism	Carbon fixation	Reductive citrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
M00374	Dicarboxylate-hydroxybutyrate cycle	map01200	Carbon metabolism	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	ec:2.7.9.2	K01007	Carbon Fixation	Reductive citrate cycle	1	0	0	0	0	1
NA	NA	NA	NA	NA	NA	NA	rraA, menG	regulator of ribonuclease activity A	NA	K02553	NA	NA	1	0	0	0	0	0
NA	NA	NA	NA	NA	NA	NA	ygiM	SH3 domain protein	NA	K07184	NA	NA	1	0	0	0	0	0
NA	NA	NA	NA	NA	NA	NA	K09780	uncharacterized protein	NA	K09780	NA	NA	1	0	0	0	0	0
NA	NA	NA	NA	NA	NA	NA	E3.1.3.97	3',5'-nucleoside bisphosphate phosphatase [EC:3.1.3.97]	ec:3.1.3.97	K07053	NA	NA	1	0	0	0	0	0
NA	NA	NA	NA	NA	NA	NA	K07039	uncharacterized protein	NA	K07039	NA	NA	1	0	0	0	0	0
NA	NA	map03018	RNA degradation	NA	NA	NA	rne	ribonuclease E [EC:3.1.26.12]	ec:3.1.26.12	K08300	NA	NA	1	0	0	0	0	0
NA	NA	NA	NA	NA	NA	NA	rluC	23S rRNA pseudouridine955/2504/2580 synthase [EC:5.4.99.24]	ec:5.4.99.24	K06179	NA	NA	1	0	0	0	0	0
NA	NA	map00630	Glyoxylate and dicarboxylate metabolism	NA	NA	NA	gph	phosphoglycolate phosphatase [EC:3.1.3.18]	ec:3.1.3.18	K01091	NA	NA	1	0	0	1	0	0
NA	NA	map01100	Metabolic pathways	NA	NA	NA	gph	phosphoglycolate phosphatase [EC:3.1.3.18]	ec:3.1.3.18	K01091	NA	NA	1	0	0	1	0	0
NA	NA	map01110	Biosynthesis of secondary metabolites	NA	NA	NA	gph	phosphoglycolate phosphatase [EC:3.1.3.18]	ec:3.1.3.18	K01091	NA	NA	1	0	0	1	0	0
NA	NA	NA	NA	NA	NA	NA	sppA	protease IV [EC:3.4.21.-]	NA	K04773	NA	NA	1	0	0	0	0	0
NA	NA	NA	NA	NA	NA	NA	maf	septum formation protein	NA	K06287	NA	NA	1	0	0	0	0	0
NA	NA	NA	NA	NA	NA	NA	K07010	putative glutamine amidotransferase	NA	K07010	NA	NA	1	0	0	0	1	0
NA	NA	NA	NA	NA	NA	NA	K07040	uncharacterized protein	NA	K07040	NA	NA	1	0	0	0	0	1
NA	NA	map03010	Ribosome	NA	NA	NA	RP-L32, MRPL32, rpmF	large subunit ribosomal protein L32	NA	K02911	NA	NA	1	0	1	0	0	0
NA	NA	map00561	Glycerolipid metabolism	NA	NA	NA	plsX	phosphate acyltransferase [EC:2.3.1.274]	ec:2.3.1.274	K03621	NA	NA	1	0	0	0	0	1
NA	NA	map01100	Metabolic pathways	NA	NA	NA	plsX	phosphate acyltransferase [EC:2.3.1.274]	ec:2.3.1.274	K03621	NA	NA	1	0	0	0	0	1
NA	NA	map01110	Biosynthesis of secondary metabolites	NA	NA	NA	plsX	phosphate acyltransferase [EC:2.3.1.274]	ec:2.3.1.274	K03621	NA	NA	1	0	0	0	0	1
M00082	Fatty acid biosynthesis, initiation	map00061	Fatty acid biosynthesis	NA	NA	NA	fabD, MCAT, MCT1	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	ec:2.3.1.39	K00645	NA	NA	1	0	0	0	0	0
M00873	Fatty acid biosynthesis in mitochondria, animals	map00061	Fatty acid biosynthesis	NA	NA	NA	fabD, MCAT, MCT1	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	ec:2.3.1.39	K00645	NA	NA	1	0	0	0	0	0
M00874	Fatty acid biosynthesis in mitochondria, fungi	map00061	Fatty acid biosynthesis	NA	NA	NA	fabD, MCAT, MCT1	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	ec:2.3.1.39	K00645	NA	NA	1	0	0	0	0	0
M00082	Fatty acid biosynthesis, initiation	map00333	Prodigiosin biosynthesis	NA	NA	NA	fabD, MCAT, MCT1	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	ec:2.3.1.39	K00645	NA	NA	1	0	0	0	0	0
M00873	Fatty acid biosynthesis in mitochondria, animals	map00333	Prodigiosin biosynthesis	NA	NA	NA	fabD, MCAT, MCT1	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	ec:2.3.1.39	K00645	NA	NA	1	0	0	0	0	0
M00874	Fatty acid biosynthesis in mitochondria, fungi	map00333	Prodigiosin biosynthesis	NA	NA	NA	fabD, MCAT, MCT1	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	ec:2.3.1.39	K00645	NA	NA	1	0	0	0	0	0
M00082	Fatty acid biosynthesis, initiation	map01100	Metabolic pathways	NA	NA	NA	fabD, MCAT, MCT1	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	ec:2.3.1.39	K00645	NA	NA	1	0	0	0	0	0
M00873	Fatty acid biosynthesis in mitochondria, animals	map01100	Metabolic pathways	NA	NA	NA	fabD, MCAT, MCT1	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	ec:2.3.1.39	K00645	NA	NA	1	0	0	0	0	0
M00874	Fatty acid biosynthesis in mitochondria, fungi	map01100	Metabolic pathways	NA	NA	NA	fabD, MCAT, MCT1	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	ec:2.3.1.39	K00645	NA	NA	1	0	0	0	0	0
M00082	Fatty acid biosynthesis, initiation	map01110	Biosynthesis of secondary metabolites	NA	NA	NA	fabD, MCAT, MCT1	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	ec:2.3.1.39	K00645	NA	NA	1	0	0	0	0	0
M00873	Fatty acid biosynthesis in mitochondria, animals	map01110	Biosynthesis of secondary metabolites	NA	NA	NA	fabD, MCAT, MCT1	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	ec:2.3.1.39	K00645	NA	NA	1	0	0	0	0	0
M00874	Fatty acid biosynthesis in mitochondria, fungi	map01110	Biosynthesis of secondary metabolites	NA	NA	NA	fabD, MCAT, MCT1	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	ec:2.3.1.39	K00645	NA	NA	1	0	0	0	0	0
