# gene name                                                                       KO     thrshld  score   E-value KO definition
#-------------------------------------------------------------------------------- ------ ------- ------ --------- ---------------------
* B113_G9_Unknown-B113_Guay9_scaffold_21389_5_B113_G9_Idunnarchaeota.fna_5_3      K00769  111.20  114.9   1.4e-34 xanthine phosphoribosyltransferase [EC:2.4.2.22]
* B113_G9_Unknown-B113_Guay9_scaffold_21389_5_B113_G9_Idunnarchaeota.fna_5_4      K09119   62.70   85.7   1.7e-25 KEOPS complex subunit Cgi121
* B113_G9_Unknown-B113_Guay9_scaffold_21389_5_B113_G9_Idunnarchaeota.fna_5_5      K07566   98.77  162.7   7.1e-49 L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]
* B113_G9_Unknown-B113_Guay9_scaffold_21389_5_B113_G9_Idunnarchaeota.fna_5_6      K02003  300.27  326.2   2.1e-98 putative ABC transport system ATP-binding protein
* B113_G9_Unknown-B113_Guay9_scaffold_21389_5_B113_G9_Idunnarchaeota.fna_5_8      K06174  241.83  794.5  6.9e-240 ATP-binding cassette, sub-family E, member 1
* B113_G9_Unknown-B113_Guay9_scaffold_21955_6_B113_G9_Idunnarchaeota.fna_6_1      K00772  299.17  336.2  8.9e-102 5'-methylthioadenosine phosphorylase [EC:2.4.2.28]
* B113_G9_Unknown-B113_Guay9_scaffold_21955_6_B113_G9_Idunnarchaeota.fna_6_3      K01889  105.17  284.4     1e-85 phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]
* B113_G9_Unknown-B113_Guay9_scaffold_21955_6_B113_G9_Idunnarchaeota.fna_6_4      K01890  110.10  363.9  9.2e-110 phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]
* B113_G9_Unknown-B113_Guay9_scaffold_22812_7_B113_G9_Idunnarchaeota.fna_7_4      K02923   29.63   60.3   1.3e-17 large subunit ribosomal protein L38e
* B113_G9_Unknown-B113_Guay9_scaffold_22812_7_B113_G9_Idunnarchaeota.fna_7_6      K01902  366.93  503.7  2.1e-152 succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
* B113_G9_Unknown-B113_Guay9_scaffold_22812_7_B113_G9_Idunnarchaeota.fna_7_7      K01903  487.73  508.7  4.7e-154 succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
* B113_G9_Unknown-B113_Guay9_scaffold_22948_8_B113_G9_Idunnarchaeota.fna_8_1      K10725  188.70  387.1  5.1e-117 archaeal cell division control protein 6
* B113_G9_Unknown-B113_Guay9_scaffold_22948_8_B113_G9_Idunnarchaeota.fna_8_3      K02323  344.60  438.1  1.9e-132 DNA polymerase II small subunit [EC:2.7.7.7]
* B113_G9_Unknown-B113_Guay9_scaffold_22948_8_B113_G9_Idunnarchaeota.fna_8_4      K00757  120.07  174.8   1.7e-52 uridine phosphorylase [EC:2.4.2.3]
* B113_G9_Unknown-B113_Guay9_scaffold_22948_8_B113_G9_Idunnarchaeota.fna_8_5      K09721   79.33   92.0   8.2e-28 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_22948_8_B113_G9_Idunnarchaeota.fna_8_6      K07143   60.97   72.8   1.2e-21 UPF0148 protein
* B113_G9_Unknown-B113_Guay9_scaffold_22948_8_B113_G9_Idunnarchaeota.fna_8_7      K06885  291.83  304.3     1e-91 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_22951_9_B113_G9_Idunnarchaeota.fna_9_2      K07332  385.67  602.2  6.3e-182 archaeal flagellar protein FlaI
* B113_G9_Unknown-B113_Guay9_scaffold_24163_10_B113_G9_Idunnarchaeota.fna_10_3    K02121   96.00  108.9   1.5e-32 V/A-type H+/Na+-transporting ATPase subunit E
* B113_G9_Unknown-B113_Guay9_scaffold_24163_10_B113_G9_Idunnarchaeota.fna_10_5    K00610  109.20  196.0   1.4e-59 aspartate carbamoyltransferase regulatory subunit
* B113_G9_Unknown-B113_Guay9_scaffold_24163_10_B113_G9_Idunnarchaeota.fna_10_6    K00609  229.53  375.4  1.5e-113 aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]
* B113_G9_Unknown-B113_Guay9_scaffold_24163_10_B113_G9_Idunnarchaeota.fna_10_8    K00180  139.07  230.6   1.7e-69 indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]
* B113_G9_Unknown-B113_Guay9_scaffold_27031_11_B113_G9_Idunnarchaeota.fna_11_1    K00948   63.93  222.5   4.6e-67 ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
* B113_G9_Unknown-B113_Guay9_scaffold_27031_11_B113_G9_Idunnarchaeota.fna_11_2    K04069  115.70  286.1     2e-86 pyruvate formate lyase activating enzyme [EC:1.97.1.4]
* B113_G9_Unknown-B113_Guay9_scaffold_27031_11_B113_G9_Idunnarchaeota.fna_11_3    K04070  137.00  315.7   1.6e-95 putative pyruvate formate lyase activating enzyme [EC:1.97.1.4]
* B113_G9_Unknown-B113_Guay9_scaffold_27031_11_B113_G9_Idunnarchaeota.fna_11_5    K01953  106.77  189.4   5.8e-57 asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]
* B113_G9_Unknown-B113_Guay9_scaffold_27301_12_B113_G9_Idunnarchaeota.fna_12_2    K03726  475.50  867.4  4.9e-262 helicase [EC:3.6.4.-]
* B113_G9_Unknown-B113_Guay9_scaffold_27457_13_B113_G9_Idunnarchaeota.fna_13_2    K10848   73.77  106.1   6.2e-32 DNA excision repair protein ERCC-4 [EC:3.1.-.-]
* B113_G9_Unknown-B113_Guay9_scaffold_27457_13_B113_G9_Idunnarchaeota.fna_13_4    K09120   92.80  108.1   1.7e-32 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_27508_14_B113_G9_Idunnarchaeota.fna_14_4    K20608  368.17  439.2  3.6e-133 tetrahedral aminopeptidase [EC:3.4.11.-]
* B113_G9_Unknown-B113_Guay9_scaffold_27508_14_B113_G9_Idunnarchaeota.fna_14_5    K08482  131.23  186.5   3.5e-56 circadian clock protein KaiC
* B113_G9_Unknown-B113_Guay9_scaffold_27860_15_B113_G9_Idunnarchaeota.fna_15_2    K06934   38.30  120.8   2.6e-36 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_27860_15_B113_G9_Idunnarchaeota.fna_15_5    K03457  189.37  230.5   1.3e-69 nucleobase:cation symporter-1, NCS1 family
* B113_G9_Unknown-B113_Guay9_scaffold_27860_15_B113_G9_Idunnarchaeota.fna_15_6    K21219  365.80  618.4    3e-187 hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase / thiamine-phosphate diphosphorylase [EC:2.7.1.49 2.7.4.7 2.5.1.3]
* B113_G9_Unknown-B113_Guay9_scaffold_27860_15_B113_G9_Idunnarchaeota.fna_15_6    K00941  308.73  386.1  1.7e-116 hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]
* B113_G9_Unknown-B113_Guay9_scaffold_28731_16_B113_G9_Idunnarchaeota.fna_16_2    K02003  300.27  336.5  1.5e-101 putative ABC transport system ATP-binding protein
* B113_G9_Unknown-B113_Guay9_scaffold_28731_16_B113_G9_Idunnarchaeota.fna_16_4    K06953   88.00  144.5     2e-43 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_28731_16_B113_G9_Idunnarchaeota.fna_16_5    K07137  126.60  375.7  1.7e-113 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_28731_16_B113_G9_Idunnarchaeota.fna_16_6    K07731  157.43  275.6   1.1e-83 putative transcriptional regulator
* B113_G9_Unknown-B113_Guay9_scaffold_29538_17_B113_G9_Idunnarchaeota.fna_17_4    K01079  120.63  169.8   5.4e-51 phosphoserine phosphatase [EC:3.1.3.3]
* B113_G9_Unknown-B113_Guay9_scaffold_29538_17_B113_G9_Idunnarchaeota.fna_17_5    K01883  388.07  570.6  2.3e-172 cysteinyl-tRNA synthetase [EC:6.1.1.16]
* B113_G9_Unknown-B113_Guay9_scaffold_29766_18_B113_G9_Idunnarchaeota.fna_18_2    K01872  194.43  499.2  1.3e-150 alanyl-tRNA synthetase [EC:6.1.1.7]
* B113_G9_Unknown-B113_Guay9_scaffold_29766_18_B113_G9_Idunnarchaeota.fna_18_2    K07050  200.80  340.0  1.1e-102 misacylated tRNA(Ala) deacylase [EC:3.1.1.-]
* B113_G9_Unknown-B113_Guay9_scaffold_29766_18_B113_G9_Idunnarchaeota.fna_18_3    K02869   79.90  129.0   4.4e-39 large subunit ribosomal protein L12
* B113_G9_Unknown-B113_Guay9_scaffold_29766_18_B113_G9_Idunnarchaeota.fna_18_4    K02864   51.83   66.8   1.1e-19 large subunit ribosomal protein L10
* B113_G9_Unknown-B113_Guay9_scaffold_29766_18_B113_G9_Idunnarchaeota.fna_18_5    K02863   92.00  114.6   2.6e-34 large subunit ribosomal protein L1
* B113_G9_Unknown-B113_Guay9_scaffold_30990_19_B113_G9_Idunnarchaeota.fna_19_2    K15429  176.33  211.7     1e-63 tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]
* B113_G9_Unknown-B113_Guay9_scaffold_30990_19_B113_G9_Idunnarchaeota.fna_19_8    K07462   64.13   88.8   1.3e-26 single-stranded-DNA-specific exonuclease [EC:3.1.-.-]
* B113_G9_Unknown-B113_Guay9_scaffold_31876_20_B113_G9_Idunnarchaeota.fna_20_2    K04796   80.23   82.3     8e-25 small nuclear ribonucleoprotein
* B113_G9_Unknown-B113_Guay9_scaffold_31876_20_B113_G9_Idunnarchaeota.fna_20_3    K01494   82.67  112.4   9.3e-34 dCTP deaminase [EC:3.5.4.13]
* B113_G9_Unknown-B113_Guay9_scaffold_31876_20_B113_G9_Idunnarchaeota.fna_20_5    K07503   78.87  237.0   1.1e-71 endonuclease [EC:3.1.-.-]
* B113_G9_Unknown-B113_Guay9_scaffold_32366_21_B113_G9_Idunnarchaeota.fna_21_2    K00789   21.00   33.2   1.4e-09 S-adenosylmethionine synthetase [EC:2.5.1.6]
* B113_G9_Unknown-B113_Guay9_scaffold_32366_21_B113_G9_Idunnarchaeota.fna_21_4    K01868  191.70  252.7   3.7e-76 threonyl-tRNA synthetase [EC:6.1.1.3]
* B113_G9_Unknown-B113_Guay9_scaffold_32791_22_B113_G9_Idunnarchaeota.fna_22_1    K12574  138.27  171.3   1.4e-51 ribonuclease J [EC:3.1.-.-]
* B113_G9_Unknown-B113_Guay9_scaffold_32791_22_B113_G9_Idunnarchaeota.fna_22_2    K07129  224.50  371.3  2.6e-112 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_33309_23_B113_G9_Idunnarchaeota.fna_23_4    K01170   88.77  167.2   1.7e-50 tRNA-intron endonuclease, archaea type [EC:4.6.1.16]
* B113_G9_Unknown-B113_Guay9_scaffold_33309_23_B113_G9_Idunnarchaeota.fna_23_5    K07220   54.77   60.2   8.2e-18 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_33309_23_B113_G9_Idunnarchaeota.fna_23_6    K01880  301.70  723.2  4.4e-218 glycyl-tRNA synthetase [EC:6.1.1.14]
* B113_G9_Unknown-B113_Guay9_scaffold_33309_23_B113_G9_Idunnarchaeota.fna_23_7    K02003  300.27  365.4  2.6e-110 putative ABC transport system ATP-binding protein
* B113_G9_Unknown-B113_Guay9_scaffold_33564_24_B113_G9_Idunnarchaeota.fna_24_3    K18779  325.30  482.9    5e-146 7-cyano-7-deazaguanine tRNA-ribosyltransferase [EC:2.4.2.48]
* B113_G9_Unknown-B113_Guay9_scaffold_36861_25_B113_G9_Idunnarchaeota.fna_25_1    K07098   93.43  203.0   2.9e-61 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_36861_25_B113_G9_Idunnarchaeota.fna_25_2    K09022   73.20  203.1   3.1e-61 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
* B113_G9_Unknown-B113_Guay9_scaffold_36861_25_B113_G9_Idunnarchaeota.fna_25_4    K01607   19.30   42.1   3.4e-12 4-carboxymuconolactone decarboxylase [EC:4.1.1.44]
* B113_G9_Unknown-B113_Guay9_scaffold_36861_25_B113_G9_Idunnarchaeota.fna_25_7    K04487  283.70  571.9  5.5e-173 cysteine desulfurase [EC:2.8.1.7]
* B113_G9_Unknown-B113_Guay9_scaffold_37269_26_B113_G9_Idunnarchaeota.fna_26_2    K06153   40.87  163.8   2.9e-49 undecaprenyl-diphosphatase [EC:3.6.1.27]
* B113_G9_Unknown-B113_Guay9_scaffold_37269_26_B113_G9_Idunnarchaeota.fna_26_3    K12234  169.90  232.8   4.2e-70 coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase [EC:6.3.2.31 6.3.2.34]
* B113_G9_Unknown-B113_Guay9_scaffold_39912_27_B113_G9_Idunnarchaeota.fna_27_2    K03547  120.63  203.0   4.2e-61 DNA repair protein SbcD/Mre11
* B113_G9_Unknown-B113_Guay9_scaffold_39912_27_B113_G9_Idunnarchaeota.fna_27_3    K06915  111.63  255.2   6.5e-77 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_40413_28_B113_G9_Idunnarchaeota.fna_28_2    K09150  166.87  492.6  8.9e-149 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_40413_28_B113_G9_Idunnarchaeota.fna_28_4    K01939   95.03  293.6   1.3e-88 adenylosuccinate synthase [EC:6.3.4.4]
* B113_G9_Unknown-B113_Guay9_scaffold_40695_29_B113_G9_Idunnarchaeota.fna_29_4    K19710  130.30  228.0   5.2e-69 ATP adenylyltransferase [EC:2.7.7.53]
* B113_G9_Unknown-B113_Guay9_scaffold_40695_29_B113_G9_Idunnarchaeota.fna_29_5    K06994  258.67  488.4  2.3e-147 putative drug exporter of the RND superfamily
* B113_G9_Unknown-B113_Guay9_scaffold_41041_30_B113_G9_Idunnarchaeota.fna_30_1    K02004   48.50   83.3   5.1e-25 putative ABC transport system permease protein
* B113_G9_Unknown-B113_Guay9_scaffold_41041_30_B113_G9_Idunnarchaeota.fna_30_2    K17830  248.03  347.5  4.5e-105 digeranylgeranylglycerophospholipid reductase [EC:1.3.1.101 1.3.7.11]
* B113_G9_Unknown-B113_Guay9_scaffold_41041_30_B113_G9_Idunnarchaeota.fna_30_4    K00809  138.47  339.8  1.8e-102 deoxyhypusine synthase [EC:2.5.1.46]
* B113_G9_Unknown-B113_Guay9_scaffold_41205_31_B113_G9_Idunnarchaeota.fna_31_4    K22447  590.37  797.2  3.3e-241 archaeal chaperonin
* B113_G9_Unknown-B113_Guay9_scaffold_41205_31_B113_G9_Idunnarchaeota.fna_31_5    K24450   56.77   95.4   8.8e-29 DNA-binding protein
* B113_G9_Unknown-B113_Guay9_scaffold_41688_32_B113_G9_Idunnarchaeota.fna_32_4    K04069  115.70  218.7   5.8e-66 pyruvate formate lyase activating enzyme [EC:1.97.1.4]
* B113_G9_Unknown-B113_Guay9_scaffold_42368_34_B113_G9_Idunnarchaeota.fna_34_2    K03789  101.77  141.0   3.3e-42 [ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]
* B113_G9_Unknown-B113_Guay9_scaffold_42368_34_B113_G9_Idunnarchaeota.fna_34_3    K00762   90.70  185.2   7.7e-56 orotate phosphoribosyltransferase [EC:2.4.2.10]
* B113_G9_Unknown-B113_Guay9_scaffold_42368_34_B113_G9_Idunnarchaeota.fna_34_4    K03120   36.53  183.7     3e-55 transcription initiation factor TFIID TATA-box-binding protein
* B113_G9_Unknown-B113_Guay9_scaffold_42873_35_B113_G9_Idunnarchaeota.fna_35_2    K01945  157.53  361.4  2.9e-109 phosphoribosylamine---glycine ligase [EC:6.3.4.13]
* B113_G9_Unknown-B113_Guay9_scaffold_42873_35_B113_G9_Idunnarchaeota.fna_35_3    K04069  115.70  124.8   1.8e-37 pyruvate formate lyase activating enzyme [EC:1.97.1.4]
* B113_G9_Unknown-B113_Guay9_scaffold_43649_36_B113_G9_Idunnarchaeota.fna_36_2    K03170  759.20 1279.2         0 reverse gyrase [EC:5.6.2.2 3.6.4.12]
* B113_G9_Unknown-B113_Guay9_scaffold_45206_38_B113_G9_Idunnarchaeota.fna_38_1    K02966   47.20   48.6   3.5e-14 small subunit ribosomal protein S19e
* B113_G9_Unknown-B113_Guay9_scaffold_45206_38_B113_G9_Idunnarchaeota.fna_38_2    K09735   85.53  129.4   3.8e-39 GTP-dependent dephospho-CoA kinase [EC:2.7.1.-]
* B113_G9_Unknown-B113_Guay9_scaffold_45206_38_B113_G9_Idunnarchaeota.fna_38_3    K03050   59.13   92.5   4.7e-28 DNA-directed RNA polymerase subunit E" [EC:2.7.7.6]
* B113_G9_Unknown-B113_Guay9_scaffold_45206_38_B113_G9_Idunnarchaeota.fna_38_4    K07158   75.60   80.0   7.1e-24 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_45680_40_B113_G9_Idunnarchaeota.fna_40_3    K04795  277.10  305.0     1e-92 fibrillarin-like pre-rRNA processing protein
* B113_G9_Unknown-B113_Guay9_scaffold_45680_40_B113_G9_Idunnarchaeota.fna_40_5    K17828  267.87  280.4   1.5e-84 dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14]
* B113_G9_Unknown-B113_Guay9_scaffold_45767_41_B113_G9_Idunnarchaeota.fna_41_1    K09903   92.93   99.9   5.9e-30 uridylate kinase [EC:2.7.4.22]
* B113_G9_Unknown-B113_Guay9_scaffold_45767_41_B113_G9_Idunnarchaeota.fna_41_2    K03265   78.37  353.0  1.4e-106 peptide chain release factor subunit 1
* B113_G9_Unknown-B113_Guay9_scaffold_45767_41_B113_G9_Idunnarchaeota.fna_41_5    K06897  102.80  234.1   1.4e-70 7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5'-phosphate synthase [EC:2.5.1.105]
* B113_G9_Unknown-B113_Guay9_scaffold_46213_42_B113_G9_Idunnarchaeota.fna_42_3    K07332  385.67  391.3  4.1e-118 archaeal flagellar protein FlaI
* B113_G9_Unknown-B113_Guay9_scaffold_49010_43_B113_G9_Idunnarchaeota.fna_43_2    K04801  374.10  443.3    2e-134 replication factor C small subunit
* B113_G9_Unknown-B113_Guay9_scaffold_49167_44_B113_G9_Idunnarchaeota.fna_44_2    K00763  124.97  231.1   1.2e-69 nicotinate phosphoribosyltransferase [EC:6.3.4.21]
* B113_G9_Unknown-B113_Guay9_scaffold_49167_44_B113_G9_Idunnarchaeota.fna_44_5    K06982  141.03  267.7   5.2e-81 pantoate kinase [EC:2.7.1.169]
* B113_G9_Unknown-B113_Guay9_scaffold_49167_44_B113_G9_Idunnarchaeota.fna_44_6    K09722  229.33  370.9  1.2e-112 4-phosphopantoate---beta-alanine ligase [EC:6.3.2.36]
* B113_G9_Unknown-B113_Guay9_scaffold_49344_45_B113_G9_Idunnarchaeota.fna_45_3    K18678  100.10  115.1   2.2e-34 phytol kinase [EC:2.7.1.182]
* B113_G9_Unknown-B113_Guay9_scaffold_49344_45_B113_G9_Idunnarchaeota.fna_45_5    K18237  290.37  302.0     2e-91 ribose 1,5-bisphosphate isomerase [EC:5.3.1.29]
* B113_G9_Unknown-B113_Guay9_scaffold_50096_46_B113_G9_Idunnarchaeota.fna_46_3    K09143   55.93   66.8   8.2e-20 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_50675_47_B113_G9_Idunnarchaeota.fna_47_1    K02987   93.20  139.6     5e-42 small subunit ribosomal protein S4e
* B113_G9_Unknown-B113_Guay9_scaffold_50675_47_B113_G9_Idunnarchaeota.fna_47_2    K02931  105.57  121.0   2.3e-36 large subunit ribosomal protein L5
* B113_G9_Unknown-B113_Guay9_scaffold_50675_47_B113_G9_Idunnarchaeota.fna_47_4    K02994   92.83   95.1   1.8e-28 small subunit ribosomal protein S8
* B113_G9_Unknown-B113_Guay9_scaffold_50675_47_B113_G9_Idunnarchaeota.fna_47_5    K02912   94.97  145.1   8.7e-44 large subunit ribosomal protein L32e
* B113_G9_Unknown-B113_Guay9_scaffold_50675_47_B113_G9_Idunnarchaeota.fna_47_6    K02885   60.10  123.4   5.8e-37 large subunit ribosomal protein L19e
* B113_G9_Unknown-B113_Guay9_scaffold_50675_47_B113_G9_Idunnarchaeota.fna_47_7    K02881   42.67   64.9   4.7e-19 large subunit ribosomal protein L18
* B113_G9_Unknown-B113_Guay9_scaffold_50675_47_B113_G9_Idunnarchaeota.fna_47_8    K02907   42.57   60.8   7.7e-18 large subunit ribosomal protein L30
* B113_G9_Unknown-B113_Guay9_scaffold_50866_48_B113_G9_Idunnarchaeota.fna_48_2    K03053   98.03  101.1   9.6e-31 DNA-directed RNA polymerase subunit H [EC:2.7.7.6]
* B113_G9_Unknown-B113_Guay9_scaffold_50896_49_B113_G9_Idunnarchaeota.fna_49_5    K18700   77.77  152.2   6.6e-46 fluoroacetyl-CoA thioesterase [EC:3.1.2.29]
* B113_G9_Unknown-B113_Guay9_scaffold_51684_50_B113_G9_Idunnarchaeota.fna_50_3    K09726  178.57  203.1   3.3e-61 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_51948_51_B113_G9_Idunnarchaeota.fna_51_4    K03243  222.60  783.7  2.2e-236 translation initiation factor 5B
* B113_G9_Unknown-B113_Guay9_scaffold_51948_51_B113_G9_Idunnarchaeota.fna_51_5    K02896   33.27   78.1   4.1e-23 large subunit ribosomal protein L24e
* B113_G9_Unknown-B113_Guay9_scaffold_51948_51_B113_G9_Idunnarchaeota.fna_51_6    K02979   53.97   73.7   7.9e-22 small subunit ribosomal protein S28e
* B113_G9_Unknown-B113_Guay9_scaffold_52818_52_B113_G9_Idunnarchaeota.fna_52_3    K02319  554.83  766.1  2.2e-231 DNA polymerase, archaea type [EC:2.7.7.7]
* B113_G9_Unknown-B113_Guay9_scaffold_53535_53_B113_G9_Idunnarchaeota.fna_53_2    K17884  168.37  183.5   2.3e-55 archaetidylinositol phosphate synthase [EC:2.7.8.39]
* B113_G9_Unknown-B113_Guay9_scaffold_53535_53_B113_G9_Idunnarchaeota.fna_53_4    K04566  327.40  388.1  3.3e-117 lysyl-tRNA synthetase, class I [EC:6.1.1.6]
* B113_G9_Unknown-B113_Guay9_scaffold_53535_53_B113_G9_Idunnarchaeota.fna_53_5    K02976   51.40   61.4   4.5e-18 small subunit ribosomal protein S26e
* B113_G9_Unknown-B113_Guay9_scaffold_54234_54_B113_G9_Idunnarchaeota.fna_54_1    K18882  109.20  129.7   6.9e-39 DNA primase large subunit
* B113_G9_Unknown-B113_Guay9_scaffold_54234_54_B113_G9_Idunnarchaeota.fna_54_2    K04802   61.67  198.8   5.6e-60 proliferating cell nuclear antigen
* B113_G9_Unknown-B113_Guay9_scaffold_54234_54_B113_G9_Idunnarchaeota.fna_54_3    K03057   89.30  125.5   8.9e-38 transcription factor S
* B113_G9_Unknown-B113_Guay9_scaffold_54234_54_B113_G9_Idunnarchaeota.fna_54_5    K07573   71.03  119.5   6.1e-36 exosome complex component CSL4
* B113_G9_Unknown-B113_Guay9_scaffold_54867_56_B113_G9_Idunnarchaeota.fna_56_2    K02031  407.63  490.0  6.3e-148 peptide/nickel transport system ATP-binding protein
* B113_G9_Unknown-B113_Guay9_scaffold_54867_56_B113_G9_Idunnarchaeota.fna_56_2    K02032  376.90  410.3  7.1e-124 peptide/nickel transport system ATP-binding protein
* B113_G9_Unknown-B113_Guay9_scaffold_54867_56_B113_G9_Idunnarchaeota.fna_56_3    K02034  256.67  386.5  1.3e-116 peptide/nickel transport system permease protein
* B113_G9_Unknown-B113_Guay9_scaffold_54867_56_B113_G9_Idunnarchaeota.fna_56_4    K02033  214.27  255.2   5.8e-77 peptide/nickel transport system permease protein
* B113_G9_Unknown-B113_Guay9_scaffold_55116_57_B113_G9_Idunnarchaeota.fna_57_1    K05772  115.10  272.1   1.5e-82 tungstate transport system substrate-binding protein
* B113_G9_Unknown-B113_Guay9_scaffold_55116_57_B113_G9_Idunnarchaeota.fna_57_2    K03638  153.87  158.8   8.5e-48 molybdopterin adenylyltransferase [EC:2.7.7.75]
* B113_G9_Unknown-B113_Guay9_scaffold_55116_57_B113_G9_Idunnarchaeota.fna_57_3    K03637   43.70  185.9   4.6e-56 cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]
* B113_G9_Unknown-B113_Guay9_scaffold_55116_57_B113_G9_Idunnarchaeota.fna_57_4    K03639  134.93  247.3   1.5e-74 GTP 3',8-cyclase [EC:4.1.99.22]
* B113_G9_Unknown-B113_Guay9_scaffold_55499_58_B113_G9_Idunnarchaeota.fna_58_4    K00945   56.00   67.6   4.7e-20 CMP/dCMP kinase [EC:2.7.4.25]
